key,value,date
POS,0.1,01/08/13
POS,0.15,01/09/13
POS,0.35,01/10/13
POS,0.38,01/11/13
POS,0.22,01/12/13
POS,0.16,01/13/13
POS,0.07,01/14/13
POS,0.02,01/15/13
POS,0.17,01/16/13
POS,0.33,01/17/13
POS,0.4,01/18/13
POS,0.32,01/19/13
POS,0.26,01/20/13
POS,0.35,01/21/13
POS,0.4,01/22/13
POS,0.32,01/23/13
POS,0.26,01/24/13
NEG,0.36,01/09/13
NEG,0.37,01/10/13
NEG,0.22,01/11/13
NEG,0.24,01/12/13
NEG,0.26,01/13/13
POS,0.22,01/25/13
POS,0.16,01/26/13
POS,0.22,01/27/13
POS,0.1,01/28/13
NEG,0.35,01/08/13
NEG,0.34,01/14/13
NEG,0.21,01/15/13
NEG,0.18,01/16/13
NEG,0.45,01/17/13
NEG,0.32,01/18/13
NEG,0.35,01/19/13
NEG,0.3,01/20/13
NEG,0.28,01/21/13
NEG,0.27,01/22/13
NEG,0.26,01/23/13
NEG,0.15,01/24/13
NEG,0.3,01/25/13
NEG,0.35,01/26/13
NEG,0.42,01/27/13
NEG,0.42,01/28/13
