key,value,date
POS,1,01/01/2011
POS,1,02/01/2011
POS,1,03/01/2011
POS,1,04/01/2011
POS,1,05/01/2011
POS,1,07/01/2011
POS,3,09/01/2011
POS,2,10/01/2011
POS,3,11/01/2011
POS,3,12/01/2011
POS,1,01/01/2012
POS,7,02/01/2012
POS,0,03/01/2012
POS,2,04/01/2012
POS,1,05/01/2012
POS,3,06/01/2012
POS,3,07/01/2012
POS,3,09/01/2012
POS,3,10/01/2012
POS,1,12/01/2012
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,0,07/01/2011
NEG,1,09/01/2011
NEG,0,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,2,01/01/2012
NEG,0,02/01/2012
NEG,1,03/01/2012
NEG,0,04/01/2012
NEG,0,05/01/2012
NEG,2,06/01/2012
NEG,1,07/01/2012
NEG,0,09/01/2012
NEG,0,10/01/2012
NEG,0,12/01/2012
