label,count,month
POS,3,03/01/2010
POS,8,04/01/2010
POS,4,06/01/2010
POS,1,07/01/2010
POS,4,08/01/2010
POS,2,09/01/2010
POS,2,10/01/2010
POS,1,12/01/2010
POS,1,01/01/2011
POS,2,02/01/2011
POS,3,03/01/2011
POS,4,04/01/2011
POS,6,05/01/2011
POS,25,06/01/2011
POS,20,07/01/2011
POS,23,08/01/2011
POS,15,09/01/2011
POS,19,10/01/2011
POS,19,11/01/2011
POS,16,12/01/2011
POS,17,01/01/2012
POS,5,02/01/2012
POS,13,03/01/2012
POS,17,04/01/2012
POS,18,05/01/2012
POS,20,06/01/2012
POS,23,07/01/2012
POS,13,08/01/2012
POS,15,09/01/2012
POS,14,10/01/2012
POS,11,11/01/2012
POS,9,12/01/2012
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,0,06/01/2010
NEG,2,07/01/2010
NEG,0,08/01/2010
NEG,2,09/01/2010
NEG,0,10/01/2010
NEG,0,12/01/2010
NEG,1,01/01/2011
NEG,0,02/01/2011
NEG,0,03/01/2011
NEG,1,04/01/2011
NEG,0,05/01/2011
NEG,2,06/01/2011
NEG,0,07/01/2011
NEG,3,08/01/2011
NEG,1,09/01/2011
NEG,0,10/01/2011
NEG,2,11/01/2011
NEG,2,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,1,03/01/2012
NEG,0,04/01/2012
NEG,0,05/01/2012
NEG,1,06/01/2012
NEG,3,07/01/2012
NEG,2,08/01/2012
NEG,0,09/01/2012
NEG,0,10/01/2012
NEG,1,11/01/2012
NEG,1,12/01/2012
