label,count,month
POS,4,03/01/2011
POS,2,04/01/2011
POS,4,06/01/2011
POS,10,07/01/2011
POS,7,08/01/2011
POS,3,09/01/2011
POS,5,10/01/2011
POS,4,11/01/2011
POS,9,12/01/2011
POS,9,01/01/2012
POS,12,02/01/2012
POS,9,03/01/2012
POS,13,04/01/2012
POS,10,05/01/2012
POS,10,06/01/2012
POS,21,07/01/2012
POS,8,08/01/2012
POS,10,09/01/2012
POS,10,10/01/2012
POS,8,11/01/2012
POS,1,12/01/2012
NEG,1,03/01/2011
NEG,0,04/01/2011
NEG,0,06/01/2011
NEG,0,07/01/2011
NEG,1,08/01/2011
NEG,0,09/01/2011
NEG,0,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,1,03/01/2012
NEG,1,04/01/2012
NEG,1,05/01/2012
NEG,1,06/01/2012
NEG,0,07/01/2012
NEG,0,08/01/2012
NEG,0,09/01/2012
NEG,1,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
