key,value,date
POS,2,12/01/2010
POS,5,01/01/2011
POS,6,02/01/2011
POS,6,03/01/2011
POS,6,04/01/2011
POS,1,05/01/2011
POS,14,06/01/2011
POS,6,07/01/2011
POS,6,08/01/2011
POS,9,09/01/2011
POS,5,10/01/2011
POS,7,11/01/2011
POS,6,12/01/2011
POS,17,01/01/2012
POS,21,02/01/2012
POS,22,03/01/2012
POS,19,04/01/2012
POS,21,05/01/2012
POS,36,06/01/2012
POS,41,07/01/2012
POS,18,08/01/2012
POS,17,09/01/2012
POS,16,10/01/2012
POS,18,11/01/2012
POS,10,12/01/2012
NEG,1,12/01/2010
NEG,2,01/01/2011
NEG,0,02/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,1,05/01/2011
NEG,2,06/01/2011
NEG,1,07/01/2011
NEG,4,08/01/2011
NEG,0,09/01/2011
NEG,0,10/01/2011
NEG,1,11/01/2011
NEG,3,12/01/2011
NEG,3,01/01/2012
NEG,1,02/01/2012
NEG,1,03/01/2012
NEG,2,04/01/2012
NEG,4,05/01/2012
NEG,3,06/01/2012
NEG,4,07/01/2012
NEG,0,08/01/2012
NEG,1,09/01/2012
NEG,1,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
