key,value,date
POS,1,12/01/2010
POS,0,01/01/2011
POS,1,04/01/2011
POS,1,05/01/2011
POS,2,06/01/2011
POS,6,07/01/2011
POS,3,08/01/2011
POS,2,10/01/2011
POS,1,12/01/2011
POS,4,01/01/2012
POS,1,02/01/2012
POS,3,03/01/2012
POS,0,04/01/2012
POS,1,05/01/2012
POS,2,06/01/2012
POS,0,07/01/2012
POS,1,08/01/2012
POS,1,09/01/2012
POS,2,10/01/2012
POS,3,11/01/2012
NEG,0,12/01/2010
NEG,1,01/01/2011
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,1,06/01/2011
NEG,2,07/01/2011
NEG,0,08/01/2011
NEG,0,10/01/2011
NEG,1,12/01/2011
NEG,1,01/01/2012
NEG,1,02/01/2012
NEG,0,03/01/2012
NEG,1,04/01/2012
NEG,0,05/01/2012
NEG,2,06/01/2012
NEG,5,07/01/2012
NEG,1,08/01/2012
NEG,3,09/01/2012
NEG,2,10/01/2012
NEG,2,11/01/2012
