label,count,month
POS,3,08/01/2009
POS,4,10/01/2009
POS,1,11/01/2009
POS,1,01/01/2010
POS,2,02/01/2010
POS,4,03/01/2010
POS,3,05/01/2010
POS,4,06/01/2010
POS,4,07/01/2010
POS,1,08/01/2010
POS,5,09/01/2010
POS,4,10/01/2010
POS,1,11/01/2010
POS,2,12/01/2010
POS,3,04/01/2011
POS,2,05/01/2011
POS,3,07/01/2011
POS,5,08/01/2011
POS,4,09/01/2011
POS,4,10/01/2011
POS,2,11/01/2011
POS,3,12/01/2011
POS,4,01/01/2012
POS,2,02/01/2012
POS,3,03/01/2012
POS,6,04/01/2012
POS,6,05/01/2012
POS,5,06/01/2012
POS,5,07/01/2012
POS,9,08/01/2012
POS,3,09/01/2012
POS,0,10/01/2012
POS,3,11/01/2012
POS,1,12/01/2012
NEG,0,08/01/2009
NEG,0,10/01/2009
NEG,1,11/01/2009
NEG,1,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,1,05/01/2010
NEG,0,06/01/2010
NEG,0,07/01/2010
NEG,0,08/01/2010
NEG,0,09/01/2010
NEG,0,10/01/2010
NEG,1,11/01/2010
NEG,0,12/01/2010
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,0,07/01/2011
NEG,0,08/01/2011
NEG,0,09/01/2011
NEG,3,10/01/2011
NEG,1,11/01/2011
NEG,1,12/01/2011
NEG,0,01/01/2012
NEG,1,02/01/2012
NEG,0,03/01/2012
NEG,1,04/01/2012
NEG,0,05/01/2012
NEG,1,06/01/2012
NEG,1,07/01/2012
NEG,0,08/01/2012
NEG,0,09/01/2012
NEG,4,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
