key,value,date
POS,2,11/01/2011
POS,7,12/01/2011
POS,11,01/01/2012
POS,15,02/01/2012
POS,11,03/01/2012
POS,11,04/01/2012
POS,10,05/01/2012
POS,16,06/01/2012
POS,16,07/01/2012
POS,26,08/01/2012
POS,19,09/01/2012
POS,29,10/01/2012
POS,12,11/01/2012
POS,3,12/01/2012
NEG,0,11/01/2011
NEG,1,12/01/2011
NEG,1,01/01/2012
NEG,0,02/01/2012
NEG,0,03/01/2012
NEG,0,04/01/2012
NEG,2,05/01/2012
NEG,0,06/01/2012
NEG,1,07/01/2012
NEG,3,08/01/2012
NEG,1,09/01/2012
NEG,0,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
