key,value,date
POS,4,09/01/2008
POS,4,10/01/2008
POS,4,11/01/2008
POS,3,12/01/2008
POS,3,01/01/2009
POS,1,02/01/2009
POS,3,03/01/2009
POS,6,04/01/2009
POS,6,05/01/2009
POS,3,06/01/2009
POS,2,07/01/2009
POS,6,08/01/2009
POS,4,09/01/2009
POS,7,10/01/2009
POS,1,11/01/2009
POS,1,12/01/2009
POS,2,01/01/2010
POS,4,02/01/2010
POS,2,03/01/2010
POS,4,04/01/2010
POS,7,05/01/2010
POS,6,06/01/2010
POS,5,07/01/2010
POS,6,08/01/2010
POS,8,09/01/2010
POS,7,10/01/2010
POS,3,11/01/2010
POS,3,12/01/2010
POS,1,01/01/2011
POS,1,02/01/2011
POS,6,03/01/2011
POS,8,04/01/2011
POS,5,05/01/2011
POS,11,06/01/2011
POS,10,07/01/2011
POS,15,08/01/2011
POS,15,09/01/2011
POS,12,10/01/2011
POS,7,11/01/2011
POS,7,12/01/2011
POS,9,01/01/2012
POS,5,02/01/2012
POS,16,03/01/2012
POS,18,04/01/2012
POS,23,05/01/2012
POS,9,06/01/2012
POS,15,07/01/2012
POS,24,08/01/2012
POS,17,09/01/2012
POS,15,10/01/2012
POS,16,11/01/2012
POS,8,12/01/2012
NEG,0,09/01/2008
NEG,0,10/01/2008
NEG,0,11/01/2008
NEG,0,12/01/2008
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,0,03/01/2009
NEG,0,04/01/2009
NEG,1,05/01/2009
NEG,0,06/01/2009
NEG,3,07/01/2009
NEG,2,08/01/2009
NEG,1,09/01/2009
NEG,1,10/01/2009
NEG,0,11/01/2009
NEG,0,12/01/2009
NEG,1,01/01/2010
NEG,0,02/01/2010
NEG,1,03/01/2010
NEG,0,04/01/2010
NEG,1,05/01/2010
NEG,0,06/01/2010
NEG,5,07/01/2010
NEG,2,08/01/2010
NEG,1,09/01/2010
NEG,5,10/01/2010
NEG,2,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,3,02/01/2011
NEG,0,03/01/2011
NEG,2,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,12,07/01/2011
NEG,3,08/01/2011
NEG,3,09/01/2011
NEG,8,10/01/2011
NEG,1,11/01/2011
NEG,4,12/01/2011
NEG,4,01/01/2012
NEG,2,02/01/2012
NEG,3,03/01/2012
NEG,8,04/01/2012
NEG,9,05/01/2012
NEG,4,06/01/2012
NEG,8,07/01/2012
NEG,3,08/01/2012
NEG,4,09/01/2012
NEG,3,10/01/2012
NEG,4,11/01/2012
NEG,1,12/01/2012
