key,value,date
POS,5,07/01/2011
POS,7,08/01/2011
POS,3,09/01/2011
POS,14,10/01/2011
POS,5,11/01/2011
POS,6,12/01/2011
POS,5,01/01/2012
POS,7,02/01/2012
POS,2,03/01/2012
POS,7,04/01/2012
POS,17,05/01/2012
POS,3,06/01/2012
POS,11,07/01/2012
POS,10,08/01/2012
POS,3,09/01/2012
POS,5,10/01/2012
POS,3,11/01/2012
POS,4,12/01/2012
NEG,1,07/01/2011
NEG,0,08/01/2011
NEG,1,09/01/2011
NEG,0,10/01/2011
NEG,2,11/01/2011
NEG,2,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,2,03/01/2012
NEG,0,04/01/2012
NEG,3,05/01/2012
NEG,1,06/01/2012
NEG,1,07/01/2012
NEG,0,08/01/2012
NEG,1,09/01/2012
NEG,0,10/01/2012
NEG,0,11/01/2012
NEG,1,12/01/2012
