label,count,month
POS,1,04/01/2010
POS,6,05/01/2010
POS,4,06/01/2010
POS,5,07/01/2010
POS,11,08/01/2010
POS,6,09/01/2010
POS,3,10/01/2010
POS,8,11/01/2010
POS,3,12/01/2010
POS,6,01/01/2011
POS,3,02/01/2011
POS,9,03/01/2011
POS,9,04/01/2011
POS,7,05/01/2011
POS,3,06/01/2011
POS,6,07/01/2011
POS,10,08/01/2011
POS,5,09/01/2011
POS,11,10/01/2011
POS,1,11/01/2011
POS,10,12/01/2011
POS,10,01/01/2012
POS,7,02/01/2012
POS,6,03/01/2012
POS,5,04/01/2012
POS,3,05/01/2012
POS,8,06/01/2012
POS,4,07/01/2012
POS,9,08/01/2012
POS,11,09/01/2012
POS,6,10/01/2012
POS,6,11/01/2012
NEG,0,04/01/2010
NEG,0,05/01/2010
NEG,0,06/01/2010
NEG,2,07/01/2010
NEG,1,08/01/2010
NEG,2,09/01/2010
NEG,3,10/01/2010
NEG,0,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,2,02/01/2011
NEG,1,03/01/2011
NEG,1,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,0,07/01/2011
NEG,0,08/01/2011
NEG,1,09/01/2011
NEG,0,10/01/2011
NEG,0,11/01/2011
NEG,1,12/01/2011
NEG,0,01/01/2012
NEG,2,02/01/2012
NEG,0,03/01/2012
NEG,1,04/01/2012
NEG,0,05/01/2012
NEG,0,06/01/2012
NEG,1,07/01/2012
NEG,2,08/01/2012
NEG,2,09/01/2012
NEG,1,10/01/2012
NEG,1,11/01/2012
