key,value,date
POS,0,08/01/2011
POS,8,09/01/2011
POS,11,10/01/2011
POS,7,11/01/2011
POS,11,12/01/2011
POS,7,01/01/2012
POS,10,02/01/2012
POS,9,03/01/2012
POS,11,04/01/2012
POS,12,05/01/2012
POS,13,06/01/2012
POS,14,07/01/2012
POS,11,08/01/2012
POS,8,09/01/2012
POS,15,10/01/2012
POS,5,11/01/2012
NEG,1,08/01/2011
NEG,0,09/01/2011
NEG,0,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,2,03/01/2012
NEG,0,04/01/2012
NEG,2,05/01/2012
NEG,0,06/01/2012
NEG,0,07/01/2012
NEG,3,08/01/2012
NEG,0,09/01/2012
NEG,0,10/01/2012
NEG,0,11/01/2012
