key,value,date
POS,5,08/01/2009
POS,16,09/01/2009
POS,11,10/01/2009
POS,6,11/01/2009
POS,10,12/01/2009
POS,5,01/01/2010
POS,6,02/01/2010
POS,7,03/01/2010
POS,7,04/01/2010
POS,8,05/01/2010
POS,9,06/01/2010
POS,14,07/01/2010
POS,7,08/01/2010
POS,9,09/01/2010
POS,10,10/01/2010
POS,10,11/01/2010
POS,9,12/01/2010
POS,8,01/01/2011
POS,4,02/01/2011
POS,8,03/01/2011
POS,9,04/01/2011
POS,6,05/01/2011
POS,14,06/01/2011
POS,11,07/01/2011
POS,12,08/01/2011
POS,19,09/01/2011
POS,9,10/01/2011
POS,11,11/01/2011
POS,9,12/01/2011
POS,24,01/01/2012
POS,15,02/01/2012
POS,15,03/01/2012
POS,21,04/01/2012
POS,13,05/01/2012
POS,24,06/01/2012
POS,33,07/01/2012
POS,17,08/01/2012
POS,18,09/01/2012
POS,19,10/01/2012
POS,14,11/01/2012
POS,11,12/01/2012
NEG,0,08/01/2009
NEG,0,09/01/2009
NEG,0,10/01/2009
NEG,1,11/01/2009
NEG,0,12/01/2009
NEG,2,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,1,04/01/2010
NEG,2,05/01/2010
NEG,0,06/01/2010
NEG,0,07/01/2010
NEG,2,08/01/2010
NEG,3,09/01/2010
NEG,1,10/01/2010
NEG,1,11/01/2010
NEG,0,12/01/2010
NEG,1,01/01/2011
NEG,0,02/01/2011
NEG,0,03/01/2011
NEG,1,04/01/2011
NEG,2,05/01/2011
NEG,1,06/01/2011
NEG,2,07/01/2011
NEG,0,08/01/2011
NEG,4,09/01/2011
NEG,0,10/01/2011
NEG,1,11/01/2011
NEG,3,12/01/2011
NEG,2,01/01/2012
NEG,4,02/01/2012
NEG,1,03/01/2012
NEG,2,04/01/2012
NEG,1,05/01/2012
NEG,3,06/01/2012
NEG,5,07/01/2012
NEG,0,08/01/2012
NEG,2,09/01/2012
NEG,2,10/01/2012
NEG,2,11/01/2012
NEG,1,12/01/2012
