key,value,date
POS,0,04/01/2011
POS,4,05/01/2011
POS,2,07/01/2011
POS,1,08/01/2011
POS,4,09/01/2011
POS,3,10/01/2011
POS,3,11/01/2011
POS,1,12/01/2011
POS,4,01/01/2012
POS,1,02/01/2012
POS,1,06/01/2012
POS,2,07/01/2012
POS,4,08/01/2012
POS,3,09/01/2012
POS,4,10/01/2012
POS,1,11/01/2012
NEG,2,04/01/2011
NEG,0,05/01/2011
NEG,0,07/01/2011
NEG,2,08/01/2011
NEG,0,09/01/2011
NEG,1,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,1,06/01/2012
NEG,0,07/01/2012
NEG,0,08/01/2012
NEG,0,09/01/2012
NEG,0,10/01/2012
NEG,1,11/01/2012
