label,count,month
POS,2,02/01/2007
POS,2,03/01/2007
POS,3,04/01/2007
POS,1,05/01/2007
POS,3,06/01/2007
POS,2,07/01/2007
POS,5,08/01/2007
POS,0,09/01/2007
POS,1,10/01/2007
POS,2,11/01/2007
POS,2,12/01/2007
POS,1,01/01/2008
POS,0,02/01/2008
POS,1,04/01/2008
POS,2,05/01/2008
POS,3,06/01/2008
POS,0,07/01/2008
POS,3,08/01/2008
POS,3,09/01/2008
POS,5,10/01/2008
POS,1,11/01/2008
POS,2,12/01/2008
POS,2,02/01/2009
POS,0,04/01/2009
POS,1,05/01/2009
POS,6,06/01/2009
POS,1,07/01/2009
POS,7,08/01/2009
POS,2,09/01/2009
POS,4,10/01/2009
POS,3,11/01/2009
POS,0,12/01/2009
POS,2,02/01/2010
POS,0,03/01/2010
POS,1,04/01/2010
POS,2,05/01/2010
POS,2,06/01/2010
POS,9,07/01/2010
POS,9,08/01/2010
POS,9,09/01/2010
POS,4,10/01/2010
POS,3,11/01/2010
POS,1,12/01/2010
POS,2,02/01/2011
POS,1,04/01/2011
POS,2,05/01/2011
POS,6,06/01/2011
POS,10,07/01/2011
POS,10,08/01/2011
POS,8,09/01/2011
POS,3,10/01/2011
POS,11,11/01/2011
POS,3,12/01/2011
POS,3,01/01/2012
POS,4,02/01/2012
POS,4,03/01/2012
POS,2,04/01/2012
POS,20,05/01/2012
POS,24,06/01/2012
POS,26,07/01/2012
POS,19,08/01/2012
POS,17,09/01/2012
POS,13,10/01/2012
POS,9,11/01/2012
POS,1,12/01/2012
NEG,2,02/01/2007
NEG,3,03/01/2007
NEG,0,04/01/2007
NEG,2,05/01/2007
NEG,5,06/01/2007
NEG,2,07/01/2007
NEG,4,08/01/2007
NEG,4,09/01/2007
NEG,3,10/01/2007
NEG,0,11/01/2007
NEG,0,12/01/2007
NEG,1,01/01/2008
NEG,1,02/01/2008
NEG,0,04/01/2008
NEG,2,05/01/2008
NEG,1,06/01/2008
NEG,2,07/01/2008
NEG,3,08/01/2008
NEG,0,09/01/2008
NEG,0,10/01/2008
NEG,0,11/01/2008
NEG,1,12/01/2008
NEG,0,02/01/2009
NEG,2,04/01/2009
NEG,2,05/01/2009
NEG,3,06/01/2009
NEG,1,07/01/2009
NEG,1,08/01/2009
NEG,2,09/01/2009
NEG,1,10/01/2009
NEG,0,11/01/2009
NEG,1,12/01/2009
NEG,0,02/01/2010
NEG,1,03/01/2010
NEG,0,04/01/2010
NEG,2,05/01/2010
NEG,2,06/01/2010
NEG,1,07/01/2010
NEG,1,08/01/2010
NEG,2,09/01/2010
NEG,0,10/01/2010
NEG,1,11/01/2010
NEG,0,12/01/2010
NEG,1,02/01/2011
NEG,2,04/01/2011
NEG,2,05/01/2011
NEG,6,06/01/2011
NEG,11,07/01/2011
NEG,8,08/01/2011
NEG,6,09/01/2011
NEG,4,10/01/2011
NEG,3,11/01/2011
NEG,1,12/01/2011
NEG,4,01/01/2012
NEG,4,02/01/2012
NEG,1,03/01/2012
NEG,6,04/01/2012
NEG,7,05/01/2012
NEG,9,06/01/2012
NEG,5,07/01/2012
NEG,7,08/01/2012
NEG,6,09/01/2012
NEG,2,10/01/2012
NEG,5,11/01/2012
NEG,1,12/01/2012
