key,value,date
POS,6,01/01/2011
POS,5,02/01/2011
POS,8,03/01/2011
POS,6,04/01/2011
POS,5,05/01/2011
POS,9,06/01/2011
POS,9,07/01/2011
POS,6,08/01/2011
POS,11,09/01/2011
POS,8,10/01/2011
POS,8,11/01/2011
POS,10,12/01/2011
POS,12,01/01/2012
POS,5,02/01/2012
POS,10,03/01/2012
POS,10,04/01/2012
POS,11,05/01/2012
POS,15,06/01/2012
POS,17,07/01/2012
POS,7,08/01/2012
POS,13,09/01/2012
POS,14,10/01/2012
POS,9,11/01/2012
POS,3,12/01/2012
NEG,1,01/01/2011
NEG,1,02/01/2011
NEG,1,03/01/2011
NEG,1,04/01/2011
NEG,2,05/01/2011
NEG,3,06/01/2011
NEG,0,07/01/2011
NEG,0,08/01/2011
NEG,1,09/01/2011
NEG,1,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,1,01/01/2012
NEG,1,02/01/2012
NEG,2,03/01/2012
NEG,1,04/01/2012
NEG,2,05/01/2012
NEG,0,06/01/2012
NEG,1,07/01/2012
NEG,1,08/01/2012
NEG,1,09/01/2012
NEG,0,10/01/2012
NEG,1,11/01/2012
NEG,0,12/01/2012
