label,count,month
POS,1,01/01/2011
POS,1,04/01/2011
POS,1,05/01/2011
POS,2,06/01/2011
POS,3,07/01/2011
POS,1,08/01/2011
POS,3,09/01/2011
POS,2,10/01/2011
POS,2,11/01/2011
POS,4,12/01/2011
POS,4,01/01/2012
POS,7,02/01/2012
POS,6,03/01/2012
POS,9,04/01/2012
POS,3,05/01/2012
POS,3,06/01/2012
POS,5,07/01/2012
POS,1,08/01/2012
POS,4,09/01/2012
POS,19,10/01/2012
POS,18,11/01/2012
POS,7,12/01/2012
NEG,0,01/01/2011
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,1,07/01/2011
NEG,0,08/01/2011
NEG,2,09/01/2011
NEG,0,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,1,03/01/2012
NEG,1,04/01/2012
NEG,1,05/01/2012
NEG,0,06/01/2012
NEG,1,07/01/2012
NEG,0,08/01/2012
NEG,2,09/01/2012
NEG,5,10/01/2012
NEG,1,11/01/2012
NEG,3,12/01/2012
