label,count,month
POS,3,12/01/2009
POS,3,01/01/2010
POS,3,02/01/2010
POS,3,03/01/2010
POS,4,04/01/2010
POS,10,05/01/2010
POS,19,06/01/2010
POS,18,07/01/2010
POS,17,08/01/2010
POS,12,09/01/2010
POS,15,10/01/2010
POS,14,11/01/2010
POS,6,12/01/2010
POS,6,01/01/2011
POS,12,02/01/2011
POS,8,03/01/2011
POS,10,04/01/2011
POS,11,05/01/2011
POS,12,06/01/2011
POS,17,07/01/2011
POS,16,08/01/2011
POS,21,09/01/2011
POS,12,10/01/2011
POS,11,11/01/2011
POS,10,12/01/2011
POS,14,01/01/2012
POS,12,02/01/2012
POS,13,03/01/2012
POS,9,04/01/2012
POS,10,05/01/2012
POS,11,06/01/2012
POS,19,07/01/2012
POS,19,08/01/2012
POS,14,09/01/2012
POS,13,10/01/2012
POS,8,11/01/2012
POS,4,12/01/2012
NEG,0,12/01/2009
NEG,2,01/01/2010
NEG,1,02/01/2010
NEG,0,03/01/2010
NEG,1,04/01/2010
NEG,0,05/01/2010
NEG,2,06/01/2010
NEG,1,07/01/2010
NEG,1,08/01/2010
NEG,0,09/01/2010
NEG,3,10/01/2010
NEG,1,11/01/2010
NEG,1,12/01/2010
NEG,2,01/01/2011
NEG,1,02/01/2011
NEG,2,03/01/2011
NEG,0,04/01/2011
NEG,3,05/01/2011
NEG,3,06/01/2011
NEG,1,07/01/2011
NEG,6,08/01/2011
NEG,6,09/01/2011
NEG,2,10/01/2011
NEG,1,11/01/2011
NEG,1,12/01/2011
NEG,2,01/01/2012
NEG,0,02/01/2012
NEG,2,03/01/2012
NEG,3,04/01/2012
NEG,1,05/01/2012
NEG,6,06/01/2012
NEG,5,07/01/2012
NEG,3,08/01/2012
NEG,2,09/01/2012
NEG,5,10/01/2012
NEG,1,11/01/2012
NEG,1,12/01/2012
