key,value,date
POS,1,01/01/2009
POS,8,02/01/2009
POS,9,03/01/2009
POS,5,04/01/2009
POS,6,05/01/2009
POS,8,06/01/2009
POS,9,07/01/2009
POS,17,08/01/2009
POS,10,09/01/2009
POS,6,10/01/2009
POS,5,11/01/2009
POS,4,12/01/2009
POS,6,01/01/2010
POS,4,02/01/2010
POS,12,03/01/2010
POS,4,04/01/2010
POS,8,05/01/2010
POS,6,06/01/2010
POS,13,07/01/2010
POS,7,08/01/2010
POS,14,09/01/2010
POS,7,10/01/2010
POS,5,11/01/2010
POS,7,12/01/2010
POS,10,01/01/2011
POS,22,02/01/2011
POS,7,03/01/2011
POS,14,04/01/2011
POS,11,05/01/2011
POS,16,06/01/2011
POS,31,07/01/2011
POS,22,08/01/2011
POS,15,09/01/2011
POS,20,10/01/2011
POS,25,11/01/2011
POS,7,12/01/2011
POS,18,01/01/2012
POS,13,02/01/2012
POS,13,03/01/2012
POS,17,04/01/2012
POS,10,05/01/2012
POS,15,06/01/2012
POS,25,07/01/2012
POS,21,08/01/2012
POS,12,09/01/2012
POS,11,10/01/2012
POS,14,11/01/2012
POS,11,12/01/2012
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,2,03/01/2009
NEG,0,04/01/2009
NEG,3,05/01/2009
NEG,0,06/01/2009
NEG,2,07/01/2009
NEG,0,08/01/2009
NEG,1,09/01/2009
NEG,1,10/01/2009
NEG,1,11/01/2009
NEG,1,12/01/2009
NEG,1,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,2,04/01/2010
NEG,0,05/01/2010
NEG,1,06/01/2010
NEG,3,07/01/2010
NEG,2,08/01/2010
NEG,2,09/01/2010
NEG,3,10/01/2010
NEG,0,11/01/2010
NEG,2,12/01/2010
NEG,1,01/01/2011
NEG,0,02/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,3,05/01/2011
NEG,0,06/01/2011
NEG,1,07/01/2011
NEG,4,08/01/2011
NEG,3,09/01/2011
NEG,5,10/01/2011
NEG,2,11/01/2011
NEG,4,12/01/2011
NEG,1,01/01/2012
NEG,2,02/01/2012
NEG,3,03/01/2012
NEG,2,04/01/2012
NEG,3,05/01/2012
NEG,3,06/01/2012
NEG,7,07/01/2012
NEG,7,08/01/2012
NEG,4,09/01/2012
NEG,3,10/01/2012
NEG,2,11/01/2012
NEG,1,12/01/2012
