label,count,month
POS,2,10/01/2010
POS,1,11/01/2010
POS,2,12/01/2010
POS,1,01/01/2011
POS,4,02/01/2011
POS,1,03/01/2011
POS,1,05/01/2011
POS,3,07/01/2011
POS,3,08/01/2011
POS,6,09/01/2011
POS,4,10/01/2011
POS,4,11/01/2011
POS,2,12/01/2011
POS,2,01/01/2012
POS,4,02/01/2012
POS,2,03/01/2012
POS,3,04/01/2012
POS,3,05/01/2012
POS,2,06/01/2012
POS,5,07/01/2012
POS,1,08/01/2012
POS,2,09/01/2012
POS,4,10/01/2012
POS,1,11/01/2012
POS,3,12/01/2012
NEG,1,10/01/2010
NEG,0,11/01/2010
NEG,0,12/01/2010
NEG,2,01/01/2011
NEG,0,02/01/2011
NEG,0,03/01/2011
NEG,2,05/01/2011
NEG,4,07/01/2011
NEG,2,08/01/2011
NEG,3,09/01/2011
NEG,2,10/01/2011
NEG,0,11/01/2011
NEG,1,12/01/2011
NEG,0,01/01/2012
NEG,1,02/01/2012
NEG,1,03/01/2012
NEG,3,04/01/2012
NEG,1,05/01/2012
NEG,1,06/01/2012
NEG,4,07/01/2012
NEG,2,08/01/2012
NEG,2,09/01/2012
NEG,2,10/01/2012
NEG,1,11/01/2012
NEG,2,12/01/2012
