key,value,date
POS,1,06/01/2005
POS,2,07/01/2005
POS,0,08/01/2005
POS,3,09/01/2005
POS,1,10/01/2005
POS,1,11/01/2005
POS,1,09/01/2006
POS,2,10/01/2006
POS,1,02/01/2007
POS,1,04/01/2007
POS,1,05/01/2007
POS,2,06/01/2007
POS,0,07/01/2007
POS,3,08/01/2007
POS,2,09/01/2007
POS,2,10/01/2007
POS,0,12/01/2007
POS,1,04/01/2008
POS,0,05/01/2008
POS,1,06/01/2008
POS,1,07/01/2008
POS,0,09/01/2008
POS,1,10/01/2008
POS,3,11/01/2008
POS,1,12/01/2008
POS,2,03/01/2009
POS,8,04/01/2009
POS,12,05/01/2009
POS,5,06/01/2009
POS,1,07/01/2009
POS,4,08/01/2009
POS,3,09/01/2009
POS,6,10/01/2009
POS,1,11/01/2009
POS,1,12/01/2009
POS,3,01/01/2010
POS,1,02/01/2010
POS,1,04/01/2010
POS,3,05/01/2010
POS,1,06/01/2010
POS,8,07/01/2010
POS,7,08/01/2010
POS,5,09/01/2010
POS,6,10/01/2010
POS,4,11/01/2010
POS,2,12/01/2010
POS,3,01/01/2011
POS,4,02/01/2011
POS,5,03/01/2011
POS,0,04/01/2011
POS,4,05/01/2011
POS,4,06/01/2011
POS,9,07/01/2011
POS,6,08/01/2011
POS,4,09/01/2011
POS,18,10/01/2011
POS,11,11/01/2011
POS,4,12/01/2011
POS,4,01/01/2012
POS,9,02/01/2012
POS,10,03/01/2012
POS,15,04/01/2012
POS,11,05/01/2012
POS,13,06/01/2012
POS,14,07/01/2012
POS,23,08/01/2012
POS,17,09/01/2012
POS,14,10/01/2012
POS,12,11/01/2012
POS,4,12/01/2012
NEG,0,06/01/2005
NEG,1,07/01/2005
NEG,2,08/01/2005
NEG,1,09/01/2005
NEG,0,10/01/2005
NEG,0,11/01/2005
NEG,0,09/01/2006
NEG,0,10/01/2006
NEG,1,02/01/2007
NEG,0,04/01/2007
NEG,0,05/01/2007
NEG,0,06/01/2007
NEG,2,07/01/2007
NEG,1,08/01/2007
NEG,0,09/01/2007
NEG,3,10/01/2007
NEG,1,12/01/2007
NEG,0,04/01/2008
NEG,1,05/01/2008
NEG,1,06/01/2008
NEG,3,07/01/2008
NEG,2,09/01/2008
NEG,6,10/01/2008
NEG,0,11/01/2008
NEG,0,12/01/2008
NEG,0,03/01/2009
NEG,1,04/01/2009
NEG,2,05/01/2009
NEG,2,06/01/2009
NEG,1,07/01/2009
NEG,2,08/01/2009
NEG,4,09/01/2009
NEG,3,10/01/2009
NEG,1,11/01/2009
NEG,0,12/01/2009
NEG,2,01/01/2010
NEG,1,02/01/2010
NEG,0,04/01/2010
NEG,2,05/01/2010
NEG,2,06/01/2010
NEG,1,07/01/2010
NEG,4,08/01/2010
NEG,7,09/01/2010
NEG,4,10/01/2010
NEG,1,11/01/2010
NEG,0,12/01/2010
NEG,1,01/01/2011
NEG,3,02/01/2011
NEG,0,03/01/2011
NEG,3,04/01/2011
NEG,0,05/01/2011
NEG,2,06/01/2011
NEG,1,07/01/2011
NEG,5,08/01/2011
NEG,6,09/01/2011
NEG,1,10/01/2011
NEG,3,11/01/2011
NEG,2,12/01/2011
NEG,1,01/01/2012
NEG,1,02/01/2012
NEG,4,03/01/2012
NEG,5,04/01/2012
NEG,3,05/01/2012
NEG,3,06/01/2012
NEG,5,07/01/2012
NEG,4,08/01/2012
NEG,3,09/01/2012
NEG,8,10/01/2012
NEG,3,11/01/2012
NEG,0,12/01/2012
