label,count,month
POS,2,11/01/2006
POS,2,12/01/2006
POS,1,01/01/2007
POS,2,02/01/2007
POS,4,03/01/2007
POS,4,04/01/2007
POS,8,05/01/2007
POS,15,06/01/2007
POS,14,07/01/2007
POS,6,08/01/2007
POS,10,09/01/2007
POS,8,10/01/2007
POS,6,11/01/2007
POS,1,12/01/2007
POS,3,01/01/2008
POS,8,02/01/2008
POS,11,03/01/2008
POS,4,04/01/2008
POS,10,05/01/2008
POS,5,06/01/2008
POS,10,07/01/2008
POS,11,08/01/2008
POS,8,09/01/2008
POS,5,10/01/2008
POS,2,11/01/2008
POS,2,12/01/2008
POS,3,01/01/2009
POS,3,02/01/2009
POS,5,03/01/2009
POS,6,04/01/2009
POS,6,05/01/2009
POS,11,06/01/2009
POS,13,07/01/2009
POS,17,08/01/2009
POS,10,09/01/2009
POS,11,10/01/2009
POS,5,11/01/2009
POS,2,12/01/2009
POS,4,01/01/2010
POS,3,02/01/2010
POS,5,03/01/2010
POS,4,04/01/2010
POS,7,05/01/2010
POS,11,06/01/2010
POS,7,07/01/2010
POS,23,08/01/2010
POS,6,09/01/2010
POS,18,10/01/2010
POS,8,11/01/2010
POS,2,12/01/2010
POS,4,01/01/2011
POS,5,02/01/2011
POS,8,03/01/2011
POS,6,04/01/2011
POS,8,05/01/2011
POS,24,06/01/2011
POS,18,07/01/2011
POS,21,08/01/2011
POS,31,09/01/2011
POS,14,10/01/2011
POS,20,11/01/2011
POS,5,12/01/2011
POS,11,01/01/2012
POS,11,02/01/2012
POS,13,03/01/2012
POS,19,04/01/2012
POS,13,05/01/2012
POS,11,06/01/2012
POS,27,07/01/2012
POS,42,08/01/2012
POS,33,09/01/2012
POS,12,10/01/2012
POS,23,11/01/2012
POS,9,12/01/2012
NEG,0,11/01/2006
NEG,0,12/01/2006
NEG,0,01/01/2007
NEG,1,02/01/2007
NEG,0,03/01/2007
NEG,2,04/01/2007
NEG,1,05/01/2007
NEG,0,06/01/2007
NEG,2,07/01/2007
NEG,1,08/01/2007
NEG,1,09/01/2007
NEG,6,10/01/2007
NEG,0,11/01/2007
NEG,0,12/01/2007
NEG,0,01/01/2008
NEG,2,02/01/2008
NEG,0,03/01/2008
NEG,3,04/01/2008
NEG,1,05/01/2008
NEG,1,06/01/2008
NEG,0,07/01/2008
NEG,2,08/01/2008
NEG,1,09/01/2008
NEG,2,10/01/2008
NEG,0,11/01/2008
NEG,2,12/01/2008
NEG,1,01/01/2009
NEG,0,02/01/2009
NEG,0,03/01/2009
NEG,1,04/01/2009
NEG,0,05/01/2009
NEG,1,06/01/2009
NEG,4,07/01/2009
NEG,1,08/01/2009
NEG,2,09/01/2009
NEG,1,10/01/2009
NEG,1,11/01/2009
NEG,1,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,1,04/01/2010
NEG,1,05/01/2010
NEG,2,06/01/2010
NEG,6,07/01/2010
NEG,2,08/01/2010
NEG,4,09/01/2010
NEG,5,10/01/2010
NEG,3,11/01/2010
NEG,1,12/01/2010
NEG,4,01/01/2011
NEG,5,02/01/2011
NEG,2,03/01/2011
NEG,1,04/01/2011
NEG,2,05/01/2011
NEG,6,06/01/2011
NEG,4,07/01/2011
NEG,5,08/01/2011
NEG,3,09/01/2011
NEG,4,10/01/2011
NEG,0,11/01/2011
NEG,3,12/01/2011
NEG,2,01/01/2012
NEG,0,02/01/2012
NEG,0,03/01/2012
NEG,3,04/01/2012
NEG,6,05/01/2012
NEG,3,06/01/2012
NEG,5,07/01/2012
NEG,10,08/01/2012
NEG,4,09/01/2012
NEG,3,10/01/2012
NEG,1,11/01/2012
NEG,0,12/01/2012
