label,count,month
POS,1,05/01/2002
POS,0,06/01/2002
POS,2,07/01/2002
POS,2,09/01/2002
POS,2,11/01/2002
POS,1,12/01/2002
POS,1,03/01/2003
POS,1,04/01/2003
POS,1,05/01/2003
POS,1,06/01/2003
POS,2,07/01/2003
POS,4,08/01/2003
POS,2,09/01/2003
POS,3,10/01/2003
POS,1,11/01/2003
POS,1,12/01/2003
POS,1,01/01/2004
POS,4,02/01/2004
POS,1,03/01/2004
POS,5,04/01/2004
POS,6,05/01/2004
POS,4,06/01/2004
POS,4,07/01/2004
POS,8,08/01/2004
POS,3,09/01/2004
POS,2,10/01/2004
POS,6,11/01/2004
POS,3,12/01/2004
POS,6,01/01/2005
POS,4,02/01/2005
POS,9,03/01/2005
POS,3,04/01/2005
POS,5,05/01/2005
POS,6,06/01/2005
POS,6,07/01/2005
POS,7,08/01/2005
POS,3,09/01/2005
POS,7,10/01/2005
POS,4,11/01/2005
POS,8,12/01/2005
POS,5,01/01/2006
POS,9,02/01/2006
POS,9,03/01/2006
POS,2,04/01/2006
POS,3,05/01/2006
POS,3,06/01/2006
POS,7,07/01/2006
POS,7,08/01/2006
POS,5,09/01/2006
POS,4,10/01/2006
POS,4,11/01/2006
POS,5,12/01/2006
POS,3,01/01/2007
POS,6,02/01/2007
POS,10,03/01/2007
POS,8,04/01/2007
POS,9,05/01/2007
POS,11,06/01/2007
POS,15,07/01/2007
POS,5,08/01/2007
POS,7,09/01/2007
POS,8,10/01/2007
POS,5,11/01/2007
POS,9,12/01/2007
POS,8,01/01/2008
POS,8,02/01/2008
POS,4,03/01/2008
POS,7,04/01/2008
POS,9,05/01/2008
POS,8,06/01/2008
POS,10,07/01/2008
POS,9,08/01/2008
POS,7,09/01/2008
POS,11,10/01/2008
POS,6,11/01/2008
POS,11,12/01/2008
POS,11,01/01/2009
POS,3,02/01/2009
POS,8,03/01/2009
POS,16,04/01/2009
POS,14,05/01/2009
POS,14,06/01/2009
POS,25,07/01/2009
POS,17,08/01/2009
POS,16,09/01/2009
POS,21,10/01/2009
POS,9,11/01/2009
POS,6,12/01/2009
POS,8,01/01/2010
POS,8,02/01/2010
POS,8,03/01/2010
POS,6,04/01/2010
POS,12,05/01/2010
POS,27,06/01/2010
POS,20,07/01/2010
POS,11,08/01/2010
POS,17,09/01/2010
POS,20,10/01/2010
POS,13,11/01/2010
POS,9,12/01/2010
POS,17,01/01/2011
POS,14,02/01/2011
POS,16,03/01/2011
POS,16,04/01/2011
POS,16,05/01/2011
POS,28,06/01/2011
POS,49,07/01/2011
POS,53,08/01/2011
POS,53,09/01/2011
POS,43,10/01/2011
POS,35,11/01/2011
POS,27,12/01/2011
POS,40,01/01/2012
POS,36,02/01/2012
POS,31,03/01/2012
POS,42,04/01/2012
POS,30,05/01/2012
POS,34,06/01/2012
POS,59,07/01/2012
POS,51,08/01/2012
POS,40,09/01/2012
POS,30,10/01/2012
POS,52,11/01/2012
POS,20,12/01/2012
NEG,0,05/01/2002
NEG,1,06/01/2002
NEG,0,07/01/2002
NEG,1,09/01/2002
NEG,0,11/01/2002
NEG,0,12/01/2002
NEG,0,03/01/2003
NEG,0,04/01/2003
NEG,0,05/01/2003
NEG,0,06/01/2003
NEG,0,07/01/2003
NEG,0,08/01/2003
NEG,0,09/01/2003
NEG,0,10/01/2003
NEG,0,11/01/2003
NEG,1,12/01/2003
NEG,1,01/01/2004
NEG,0,02/01/2004
NEG,1,03/01/2004
NEG,0,04/01/2004
NEG,0,05/01/2004
NEG,0,06/01/2004
NEG,0,07/01/2004
NEG,0,08/01/2004
NEG,2,09/01/2004
NEG,1,10/01/2004
NEG,2,11/01/2004
NEG,0,12/01/2004
