key,value,date
POS,7,12/01/2006
POS,3,01/01/2007
POS,3,02/01/2007
POS,9,03/01/2007
POS,2,04/01/2007
POS,3,05/01/2007
POS,5,06/01/2007
POS,4,07/01/2007
POS,11,08/01/2007
POS,7,09/01/2007
POS,6,10/01/2007
POS,4,11/01/2007
POS,6,12/01/2007
POS,11,01/01/2008
POS,3,02/01/2008
POS,5,03/01/2008
POS,4,04/01/2008
POS,2,05/01/2008
POS,8,06/01/2008
POS,11,07/01/2008
POS,4,08/01/2008
POS,10,09/01/2008
POS,5,10/01/2008
POS,2,11/01/2008
POS,3,12/01/2008
POS,4,01/01/2009
POS,1,02/01/2009
POS,7,03/01/2009
POS,3,04/01/2009
POS,5,05/01/2009
POS,14,06/01/2009
POS,15,07/01/2009
POS,13,08/01/2009
POS,10,09/01/2009
POS,22,10/01/2009
POS,6,11/01/2009
POS,5,12/01/2009
POS,3,01/01/2010
POS,2,02/01/2010
POS,2,03/01/2010
POS,9,04/01/2010
POS,8,05/01/2010
POS,14,06/01/2010
POS,15,07/01/2010
POS,14,08/01/2010
POS,15,09/01/2010
POS,29,10/01/2010
POS,11,11/01/2010
POS,3,12/01/2010
POS,5,01/01/2011
POS,5,02/01/2011
POS,16,03/01/2011
POS,7,04/01/2011
POS,14,05/01/2011
POS,44,06/01/2011
POS,46,07/01/2011
POS,37,08/01/2011
POS,54,09/01/2011
POS,34,10/01/2011
POS,26,11/01/2011
POS,14,12/01/2011
POS,28,01/01/2012
POS,14,02/01/2012
POS,14,03/01/2012
POS,25,04/01/2012
POS,29,05/01/2012
POS,24,06/01/2012
POS,40,07/01/2012
POS,36,08/01/2012
POS,43,09/01/2012
POS,30,10/01/2012
POS,20,11/01/2012
POS,10,12/01/2012
NEG,1,12/01/2006
NEG,0,01/01/2007
NEG,0,02/01/2007
NEG,0,03/01/2007
NEG,3,04/01/2007
NEG,2,05/01/2007
NEG,1,06/01/2007
NEG,1,07/01/2007
NEG,2,08/01/2007
NEG,6,09/01/2007
NEG,1,10/01/2007
NEG,3,11/01/2007
NEG,0,12/01/2007
NEG,3,01/01/2008
NEG,2,02/01/2008
NEG,6,03/01/2008
NEG,0,04/01/2008
NEG,0,05/01/2008
NEG,5,06/01/2008
NEG,5,07/01/2008
NEG,2,08/01/2008
NEG,4,09/01/2008
NEG,6,10/01/2008
NEG,2,11/01/2008
NEG,0,12/01/2008
NEG,1,01/01/2009
NEG,1,02/01/2009
NEG,5,03/01/2009
NEG,1,04/01/2009
NEG,7,05/01/2009
NEG,5,06/01/2009
NEG,1,07/01/2009
NEG,3,08/01/2009
NEG,7,09/01/2009
NEG,3,10/01/2009
NEG,5,11/01/2009
NEG,4,12/01/2009
NEG,5,01/01/2010
NEG,0,02/01/2010
NEG,6,03/01/2010
NEG,4,04/01/2010
NEG,2,05/01/2010
NEG,3,06/01/2010
NEG,8,07/01/2010
NEG,5,08/01/2010
NEG,9,09/01/2010
NEG,2,10/01/2010
NEG,1,11/01/2010
NEG,2,12/01/2010
NEG,4,01/01/2011
NEG,1,02/01/2011
NEG,3,03/01/2011
NEG,3,04/01/2011
NEG,2,05/01/2011
NEG,8,06/01/2011
NEG,6,07/01/2011
NEG,13,08/01/2011
NEG,13,09/01/2011
NEG,8,10/01/2011
NEG,9,11/01/2011
NEG,6,12/01/2011
NEG,3,01/01/2012
NEG,4,02/01/2012
NEG,7,03/01/2012
NEG,9,04/01/2012
NEG,8,05/01/2012
NEG,8,06/01/2012
NEG,20,07/01/2012
NEG,16,08/01/2012
NEG,11,09/01/2012
NEG,12,10/01/2012
NEG,7,11/01/2012
NEG,5,12/01/2012
