label,count,month
POS,4,07/01/2004
POS,4,08/01/2004
POS,2,09/01/2004
POS,4,10/01/2004
POS,5,11/01/2004
POS,2,12/01/2004
POS,3,01/01/2005
POS,5,02/01/2005
POS,4,04/01/2005
POS,3,05/01/2005
POS,12,06/01/2005
POS,9,07/01/2005
POS,14,08/01/2005
POS,11,09/01/2005
POS,11,10/01/2005
POS,6,11/01/2005
POS,3,01/01/2006
POS,2,02/01/2006
POS,4,03/01/2006
POS,8,04/01/2006
POS,5,05/01/2006
POS,3,06/01/2006
POS,6,07/01/2006
POS,4,08/01/2006
POS,9,09/01/2006
POS,7,10/01/2006
POS,6,11/01/2006
POS,7,12/01/2006
POS,11,01/01/2007
POS,7,02/01/2007
POS,7,03/01/2007
POS,6,04/01/2007
POS,4,05/01/2007
POS,7,06/01/2007
POS,9,07/01/2007
POS,17,08/01/2007
POS,10,09/01/2007
POS,13,10/01/2007
POS,8,11/01/2007
POS,7,12/01/2007
POS,8,01/01/2008
POS,8,02/01/2008
POS,8,03/01/2008
POS,9,04/01/2008
POS,3,05/01/2008
POS,10,06/01/2008
POS,17,07/01/2008
POS,14,08/01/2008
POS,17,09/01/2008
POS,14,10/01/2008
POS,6,11/01/2008
POS,5,12/01/2008
POS,3,01/01/2009
POS,6,02/01/2009
POS,7,03/01/2009
POS,9,04/01/2009
POS,13,05/01/2009
POS,7,06/01/2009
POS,18,07/01/2009
POS,15,08/01/2009
POS,13,09/01/2009
POS,29,10/01/2009
POS,9,11/01/2009
POS,7,12/01/2009
POS,9,01/01/2010
POS,11,02/01/2010
POS,22,03/01/2010
POS,15,04/01/2010
POS,13,05/01/2010
POS,16,06/01/2010
POS,17,07/01/2010
POS,30,08/01/2010
POS,20,09/01/2010
POS,15,10/01/2010
POS,21,11/01/2010
POS,12,12/01/2010
POS,16,01/01/2011
POS,14,02/01/2011
POS,18,03/01/2011
POS,19,04/01/2011
POS,19,05/01/2011
POS,27,06/01/2011
POS,32,07/01/2011
POS,35,08/01/2011
POS,27,09/01/2011
POS,27,10/01/2011
POS,30,11/01/2011
POS,9,12/01/2011
POS,19,01/01/2012
POS,19,02/01/2012
POS,20,03/01/2012
POS,17,04/01/2012
POS,21,05/01/2012
POS,29,06/01/2012
POS,38,07/01/2012
POS,27,08/01/2012
POS,31,09/01/2012
POS,28,10/01/2012
POS,24,11/01/2012
POS,12,12/01/2012
NEG,0,07/01/2004
NEG,0,08/01/2004
NEG,0,09/01/2004
NEG,0,10/01/2004
NEG,0,11/01/2004
NEG,0,12/01/2004
NEG,1,01/01/2005
NEG,0,02/01/2005
NEG,1,04/01/2005
NEG,1,05/01/2005
NEG,0,06/01/2005
NEG,0,07/01/2005
NEG,0,08/01/2005
NEG,0,09/01/2005
NEG,2,10/01/2005
NEG,2,11/01/2005
NEG,0,01/01/2006
NEG,0,02/01/2006
NEG,1,03/01/2006
NEG,0,04/01/2006
NEG,0,05/01/2006
NEG,0,06/01/2006
NEG,0,07/01/2006
NEG,0,08/01/2006
NEG,3,09/01/2006
NEG,0,10/01/2006
NEG,0,11/01/2006
NEG,1,12/01/2006
NEG,0,01/01/2007
NEG,0,02/01/2007
NEG,0,03/01/2007
NEG,0,04/01/2007
NEG,0,05/01/2007
NEG,1,06/01/2007
NEG,0,07/01/2007
NEG,2,08/01/2007
NEG,1,09/01/2007
NEG,1,10/01/2007
NEG,1,11/01/2007
NEG,0,12/01/2007
NEG,0,01/01/2008
NEG,1,02/01/2008
NEG,0,03/01/2008
NEG,1,04/01/2008
NEG,1,05/01/2008
NEG,3,06/01/2008
NEG,3,07/01/2008
NEG,6,08/01/2008
NEG,0,09/01/2008
NEG,2,10/01/2008
NEG,1,11/01/2008
NEG,0,12/01/2008
NEG,1,01/01/2009
NEG,1,02/01/2009
NEG,0,03/01/2009
NEG,2,04/01/2009
NEG,4,05/01/2009
NEG,1,06/01/2009
NEG,3,07/01/2009
NEG,6,08/01/2009
NEG,2,09/01/2009
NEG,2,10/01/2009
NEG,2,11/01/2009
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,1,03/01/2010
NEG,1,04/01/2010
NEG,0,05/01/2010
NEG,4,06/01/2010
NEG,5,07/01/2010
NEG,3,08/01/2010
NEG,2,09/01/2010
NEG,2,10/01/2010
NEG,1,11/01/2010
NEG,3,12/01/2010
NEG,1,01/01/2011
NEG,0,02/01/2011
NEG,3,03/01/2011
NEG,3,04/01/2011
NEG,2,05/01/2011
NEG,1,06/01/2011
NEG,7,07/01/2011
NEG,2,08/01/2011
NEG,6,09/01/2011
NEG,1,10/01/2011
NEG,2,11/01/2011
NEG,2,12/01/2011
NEG,2,01/01/2012
NEG,4,02/01/2012
NEG,1,03/01/2012
NEG,4,04/01/2012
NEG,3,05/01/2012
NEG,6,06/01/2012
NEG,7,07/01/2012
NEG,8,08/01/2012
NEG,4,09/01/2012
NEG,3,10/01/2012
NEG,3,11/01/2012
NEG,0,12/01/2012
