key,value,date
POS,0,09/01/2002
POS,1,11/01/2002
POS,3,08/01/2003
POS,1,09/01/2003
POS,1,11/01/2003
POS,1,01/01/2004
POS,1,02/01/2004
POS,1,04/01/2004
POS,1,05/01/2004
POS,1,06/01/2004
POS,1,07/01/2004
POS,2,08/01/2004
POS,1,09/01/2004
POS,1,10/01/2004
POS,3,11/01/2004
POS,2,01/01/2005
POS,1,03/01/2005
POS,2,04/01/2005
POS,1,06/01/2005
POS,3,07/01/2005
POS,0,08/01/2005
POS,2,09/01/2005
POS,0,10/01/2005
POS,3,11/01/2005
POS,2,12/01/2005
POS,4,02/01/2006
POS,1,04/01/2006
POS,1,05/01/2006
POS,1,07/01/2006
POS,1,09/01/2006
POS,3,10/01/2006
POS,2,11/01/2006
POS,1,12/01/2006
POS,1,01/01/2007
POS,1,04/01/2007
POS,2,05/01/2007
POS,2,06/01/2007
POS,4,07/01/2007
POS,7,08/01/2007
POS,5,09/01/2007
POS,6,10/01/2007
POS,12,11/01/2007
POS,4,12/01/2007
POS,8,01/01/2008
POS,5,02/01/2008
POS,7,03/01/2008
POS,9,04/01/2008
POS,13,05/01/2008
POS,7,06/01/2008
POS,8,07/01/2008
POS,11,08/01/2008
POS,7,09/01/2008
POS,12,10/01/2008
POS,9,11/01/2008
POS,4,12/01/2008
POS,8,01/01/2009
POS,7,02/01/2009
POS,7,03/01/2009
POS,13,04/01/2009
POS,7,05/01/2009
POS,4,06/01/2009
POS,18,07/01/2009
POS,23,08/01/2009
POS,19,09/01/2009
POS,27,10/01/2009
POS,16,11/01/2009
POS,18,12/01/2009
POS,15,01/01/2010
POS,17,02/01/2010
POS,16,03/01/2010
POS,20,04/01/2010
POS,22,05/01/2010
POS,29,06/01/2010
POS,36,07/01/2010
POS,34,08/01/2010
POS,22,09/01/2010
POS,29,10/01/2010
POS,27,11/01/2010
POS,20,12/01/2010
POS,23,01/01/2011
POS,15,02/01/2011
POS,26,03/01/2011
POS,26,04/01/2011
POS,29,05/01/2011
POS,41,06/01/2011
POS,41,07/01/2011
POS,41,08/01/2011
POS,39,09/01/2011
POS,31,10/01/2011
POS,30,11/01/2011
POS,34,12/01/2011
POS,44,01/01/2012
POS,24,02/01/2012
POS,28,03/01/2012
POS,41,04/01/2012
POS,26,05/01/2012
POS,34,06/01/2012
POS,32,07/01/2012
POS,45,08/01/2012
POS,40,09/01/2012
POS,28,10/01/2012
POS,30,11/01/2012
POS,22,12/01/2012
NEG,1,09/01/2002
NEG,0,11/01/2002
NEG,0,08/01/2003
NEG,1,09/01/2003
NEG,0,11/01/2003
NEG,0,01/01/2004
NEG,0,02/01/2004
NEG,0,04/01/2004
NEG,0,05/01/2004
NEG,0,06/01/2004
NEG,0,07/01/2004
NEG,0,08/01/2004
NEG,0,09/01/2004
NEG,1,10/01/2004
NEG,3,11/01/2004
NEG,1,01/01/2005
NEG,0,03/01/2005
NEG,0,04/01/2005
NEG,0,06/01/2005
NEG,0,07/01/2005
NEG,1,08/01/2005
NEG,1,09/01/2005
NEG,1,10/01/2005
NEG,2,11/01/2005
NEG,0,12/01/2005
NEG,0,02/01/2006
NEG,0,04/01/2006
NEG,0,05/01/2006
NEG,1,07/01/2006
NEG,0,09/01/2006
NEG,1,10/01/2006
NEG,1,11/01/2006
NEG,0,12/01/2006
NEG,0,01/01/2007
NEG,0,04/01/2007
NEG,2,05/01/2007
NEG,1,06/01/2007
NEG,3,07/01/2007
NEG,1,08/01/2007
NEG,0,09/01/2007
NEG,2,10/01/2007
NEG,0,11/01/2007
NEG,0,12/01/2007
NEG,0,01/01/2008
NEG,0,02/01/2008
NEG,1,03/01/2008
NEG,3,04/01/2008
NEG,2,05/01/2008
NEG,0,06/01/2008
NEG,0,07/01/2008
NEG,4,08/01/2008
NEG,0,09/01/2008
NEG,3,10/01/2008
NEG,1,11/01/2008
NEG,0,12/01/2008
NEG,0,01/01/2009
NEG,1,02/01/2009
NEG,0,03/01/2009
NEG,1,04/01/2009
NEG,1,05/01/2009
NEG,0,06/01/2009
NEG,2,07/01/2009
NEG,4,08/01/2009
NEG,4,09/01/2009
NEG,1,10/01/2009
NEG,2,11/01/2009
NEG,0,12/01/2009
NEG,2,01/01/2010
NEG,1,02/01/2010
NEG,0,03/01/2010
NEG,5,04/01/2010
NEG,2,05/01/2010
NEG,3,06/01/2010
NEG,5,07/01/2010
NEG,6,08/01/2010
NEG,3,09/01/2010
NEG,7,10/01/2010
NEG,3,11/01/2010
NEG,1,12/01/2010
NEG,4,01/01/2011
NEG,1,02/01/2011
NEG,2,03/01/2011
NEG,2,04/01/2011
NEG,3,05/01/2011
NEG,3,06/01/2011
NEG,6,07/01/2011
NEG,15,08/01/2011
NEG,5,09/01/2011
NEG,8,10/01/2011
NEG,6,11/01/2011
NEG,6,12/01/2011
NEG,3,01/01/2012
NEG,0,02/01/2012
NEG,6,03/01/2012
NEG,4,04/01/2012
NEG,3,05/01/2012
NEG,1,06/01/2012
NEG,3,07/01/2012
NEG,8,08/01/2012
NEG,3,09/01/2012
NEG,3,10/01/2012
NEG,1,11/01/2012
NEG,3,12/01/2012
