key,value,date
POS,2,09/01/2007
POS,7,10/01/2007
POS,5,11/01/2007
POS,5,12/01/2007
POS,4,01/01/2008
POS,6,02/01/2008
POS,5,03/01/2008
POS,7,04/01/2008
POS,3,05/01/2008
POS,6,06/01/2008
POS,2,07/01/2008
POS,2,08/01/2008
POS,3,09/01/2008
POS,3,10/01/2008
POS,1,11/01/2008
POS,3,01/01/2009
POS,2,02/01/2009
POS,4,03/01/2009
POS,2,04/01/2009
POS,5,05/01/2009
POS,4,06/01/2009
POS,4,07/01/2009
POS,5,08/01/2009
POS,3,09/01/2009
POS,6,10/01/2009
POS,5,11/01/2009
POS,4,12/01/2009
POS,3,01/01/2010
POS,2,02/01/2010
POS,2,03/01/2010
POS,3,04/01/2010
POS,2,05/01/2010
POS,8,06/01/2010
POS,7,07/01/2010
POS,9,08/01/2010
POS,5,09/01/2010
POS,5,10/01/2010
POS,2,11/01/2010
POS,6,12/01/2010
POS,7,01/01/2011
POS,5,02/01/2011
POS,4,03/01/2011
POS,6,04/01/2011
POS,7,05/01/2011
POS,13,06/01/2011
POS,19,07/01/2011
POS,23,08/01/2011
POS,25,09/01/2011
POS,16,10/01/2011
POS,17,11/01/2011
POS,14,12/01/2011
POS,23,01/01/2012
POS,15,02/01/2012
POS,16,03/01/2012
POS,24,04/01/2012
POS,17,05/01/2012
POS,20,06/01/2012
POS,31,07/01/2012
POS,30,08/01/2012
POS,25,09/01/2012
POS,25,10/01/2012
POS,23,11/01/2012
POS,13,12/01/2012
NEG,1,09/01/2007
NEG,1,10/01/2007
NEG,0,11/01/2007
NEG,0,12/01/2007
NEG,0,01/01/2008
NEG,1,02/01/2008
NEG,1,03/01/2008
NEG,1,04/01/2008
NEG,2,05/01/2008
NEG,1,06/01/2008
NEG,2,07/01/2008
NEG,5,08/01/2008
NEG,0,09/01/2008
NEG,0,10/01/2008
NEG,0,11/01/2008
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,0,03/01/2009
NEG,0,04/01/2009
NEG,0,05/01/2009
NEG,0,06/01/2009
NEG,0,07/01/2009
NEG,3,08/01/2009
NEG,1,09/01/2009
NEG,1,10/01/2009
NEG,0,11/01/2009
NEG,0,12/01/2009
NEG,1,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,2,05/01/2010
NEG,0,06/01/2010
NEG,0,07/01/2010
NEG,3,08/01/2010
NEG,1,09/01/2010
NEG,2,10/01/2010
NEG,1,11/01/2010
NEG,0,12/01/2010
NEG,1,01/01/2011
NEG,0,02/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,3,05/01/2011
NEG,1,06/01/2011
NEG,6,07/01/2011
NEG,5,08/01/2011
NEG,6,09/01/2011
NEG,4,10/01/2011
NEG,1,11/01/2011
NEG,5,12/01/2011
NEG,5,01/01/2012
NEG,2,02/01/2012
NEG,0,03/01/2012
NEG,3,04/01/2012
NEG,3,05/01/2012
NEG,2,06/01/2012
NEG,4,07/01/2012
NEG,1,08/01/2012
NEG,5,09/01/2012
NEG,5,10/01/2012
NEG,1,11/01/2012
NEG,2,12/01/2012
