label,count,month
POS,2,06/01/2006
POS,4,07/01/2006
POS,4,08/01/2006
POS,5,09/01/2006
POS,8,10/01/2006
POS,2,11/01/2006
POS,4,12/01/2006
POS,2,01/01/2007
POS,1,02/01/2007
POS,3,03/01/2007
POS,6,04/01/2007
POS,5,05/01/2007
POS,9,06/01/2007
POS,7,07/01/2007
POS,2,08/01/2007
POS,1,09/01/2007
POS,3,10/01/2007
POS,1,11/01/2007
POS,2,12/01/2007
POS,2,01/01/2008
POS,2,02/01/2008
POS,0,03/01/2008
POS,6,04/01/2008
POS,1,05/01/2008
POS,8,06/01/2008
POS,3,07/01/2008
POS,10,08/01/2008
POS,3,09/01/2008
POS,4,10/01/2008
POS,7,11/01/2008
POS,2,12/01/2008
POS,3,01/01/2009
POS,5,03/01/2009
POS,1,04/01/2009
POS,4,05/01/2009
POS,8,06/01/2009
POS,5,07/01/2009
POS,6,08/01/2009
POS,8,09/01/2009
POS,11,10/01/2009
POS,2,11/01/2009
POS,3,12/01/2009
POS,2,01/01/2010
POS,1,02/01/2010
POS,2,03/01/2010
POS,4,04/01/2010
POS,4,05/01/2010
POS,5,06/01/2010
POS,9,07/01/2010
POS,10,08/01/2010
POS,15,09/01/2010
POS,16,10/01/2010
POS,6,11/01/2010
POS,5,12/01/2010
POS,14,01/01/2011
POS,5,02/01/2011
POS,8,03/01/2011
POS,10,04/01/2011
POS,17,05/01/2011
POS,19,06/01/2011
POS,31,07/01/2011
POS,32,08/01/2011
POS,40,09/01/2011
POS,24,10/01/2011
POS,14,11/01/2011
POS,9,12/01/2011
POS,10,01/01/2012
POS,2,02/01/2012
POS,17,03/01/2012
POS,21,04/01/2012
POS,17,05/01/2012
POS,20,06/01/2012
POS,36,07/01/2012
POS,27,08/01/2012
POS,38,09/01/2012
POS,17,10/01/2012
POS,13,11/01/2012
POS,6,12/01/2012
NEG,0,06/01/2006
NEG,3,07/01/2006
NEG,2,08/01/2006
NEG,2,09/01/2006
NEG,3,10/01/2006
NEG,1,11/01/2006
NEG,2,12/01/2006
NEG,0,01/01/2007
NEG,0,02/01/2007
NEG,2,03/01/2007
NEG,1,04/01/2007
NEG,2,05/01/2007
NEG,1,06/01/2007
NEG,1,07/01/2007
NEG,1,08/01/2007
NEG,2,09/01/2007
NEG,1,10/01/2007
NEG,3,11/01/2007
NEG,0,12/01/2007
NEG,0,01/01/2008
NEG,4,02/01/2008
NEG,1,03/01/2008
NEG,2,04/01/2008
NEG,1,05/01/2008
NEG,3,06/01/2008
NEG,0,07/01/2008
NEG,3,08/01/2008
NEG,1,09/01/2008
NEG,3,10/01/2008
NEG,0,11/01/2008
NEG,1,12/01/2008
NEG,1,01/01/2009
NEG,0,03/01/2009
NEG,1,04/01/2009
NEG,0,05/01/2009
NEG,1,06/01/2009
NEG,2,07/01/2009
NEG,7,08/01/2009
NEG,6,09/01/2009
NEG,4,10/01/2009
NEG,5,11/01/2009
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,1,05/01/2010
NEG,3,06/01/2010
NEG,4,07/01/2010
NEG,2,08/01/2010
NEG,6,09/01/2010
NEG,6,10/01/2010
NEG,1,11/01/2010
NEG,1,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,1,03/01/2011
NEG,2,04/01/2011
NEG,3,05/01/2011
NEG,3,06/01/2011
NEG,3,07/01/2011
NEG,8,08/01/2011
NEG,6,09/01/2011
NEG,5,10/01/2011
NEG,6,11/01/2011
NEG,2,12/01/2011
NEG,2,01/01/2012
NEG,2,02/01/2012
NEG,5,03/01/2012
NEG,5,04/01/2012
NEG,5,05/01/2012
NEG,5,06/01/2012
NEG,7,07/01/2012
NEG,10,08/01/2012
NEG,11,09/01/2012
NEG,5,10/01/2012
NEG,2,11/01/2012
NEG,1,12/01/2012
