key,value,date
POS,3,11/01/2009
POS,4,12/01/2009
POS,4,01/01/2010
POS,2,02/01/2010
POS,3,03/01/2010
POS,8,04/01/2010
POS,11,05/01/2010
POS,11,06/01/2010
POS,9,07/01/2010
POS,8,08/01/2010
POS,12,09/01/2010
POS,6,10/01/2010
POS,9,11/01/2010
POS,7,12/01/2010
POS,8,01/01/2011
POS,7,02/01/2011
POS,4,03/01/2011
POS,6,04/01/2011
POS,7,05/01/2011
POS,6,06/01/2011
POS,8,07/01/2011
POS,8,08/01/2011
POS,16,09/01/2011
POS,16,10/01/2011
POS,16,11/01/2011
POS,6,12/01/2011
POS,14,01/01/2012
POS,8,02/01/2012
POS,13,03/01/2012
POS,14,04/01/2012
POS,11,05/01/2012
POS,13,06/01/2012
POS,14,07/01/2012
POS,15,08/01/2012
POS,20,09/01/2012
POS,16,10/01/2012
POS,5,11/01/2012
POS,6,12/01/2012
NEG,1,11/01/2009
NEG,2,12/01/2009
NEG,1,01/01/2010
NEG,0,02/01/2010
NEG,3,03/01/2010
NEG,2,04/01/2010
NEG,1,05/01/2010
NEG,0,06/01/2010
NEG,1,07/01/2010
NEG,3,08/01/2010
NEG,1,09/01/2010
NEG,3,10/01/2010
NEG,4,11/01/2010
NEG,1,12/01/2010
NEG,1,01/01/2011
NEG,0,02/01/2011
NEG,2,03/01/2011
NEG,3,04/01/2011
NEG,1,05/01/2011
NEG,1,06/01/2011
NEG,3,07/01/2011
NEG,6,08/01/2011
NEG,1,09/01/2011
NEG,3,10/01/2011
NEG,2,11/01/2011
NEG,2,12/01/2011
NEG,4,01/01/2012
NEG,2,02/01/2012
NEG,3,03/01/2012
NEG,3,04/01/2012
NEG,0,05/01/2012
NEG,7,06/01/2012
NEG,4,07/01/2012
NEG,6,08/01/2012
NEG,11,09/01/2012
NEG,2,10/01/2012
NEG,4,11/01/2012
NEG,2,12/01/2012
