key,value,date
POS,3,03/01/2011
POS,4,04/01/2011
POS,3,05/01/2011
POS,6,06/01/2011
POS,6,07/01/2011
POS,14,08/01/2011
POS,6,09/01/2011
POS,8,10/01/2011
POS,4,11/01/2011
POS,3,12/01/2011
POS,8,01/01/2012
POS,5,02/01/2012
POS,4,03/01/2012
POS,12,04/01/2012
POS,16,05/01/2012
POS,6,06/01/2012
POS,21,07/01/2012
POS,5,08/01/2012
POS,5,09/01/2012
POS,17,10/01/2012
POS,13,11/01/2012
POS,8,12/01/2012
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,1,05/01/2011
NEG,0,06/01/2011
NEG,1,07/01/2011
NEG,0,08/01/2011
NEG,0,09/01/2011
NEG,2,10/01/2011
NEG,2,11/01/2011
NEG,1,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,1,03/01/2012
NEG,0,04/01/2012
NEG,0,05/01/2012
NEG,0,06/01/2012
NEG,1,07/01/2012
NEG,1,08/01/2012
NEG,0,09/01/2012
NEG,2,10/01/2012
NEG,3,11/01/2012
NEG,0,12/01/2012
