key,value,date
POS,2,06/01/2008
POS,2,08/01/2008
POS,1,09/01/2008
POS,1,11/01/2008
POS,1,12/01/2008
POS,2,05/01/2009
POS,1,06/01/2009
POS,3,07/01/2009
POS,7,08/01/2009
POS,8,09/01/2009
POS,5,10/01/2009
POS,6,11/01/2009
POS,4,12/01/2009
POS,2,01/01/2010
POS,5,02/01/2010
POS,11,03/01/2010
POS,7,04/01/2010
POS,7,05/01/2010
POS,5,06/01/2010
POS,11,07/01/2010
POS,12,08/01/2010
POS,15,09/01/2010
POS,12,10/01/2010
POS,10,11/01/2010
POS,11,12/01/2010
POS,18,01/01/2011
POS,3,02/01/2011
POS,6,03/01/2011
POS,11,04/01/2011
POS,16,05/01/2011
POS,14,06/01/2011
POS,39,07/01/2011
POS,29,08/01/2011
POS,17,09/01/2011
POS,8,10/01/2011
POS,7,11/01/2011
POS,3,12/01/2011
POS,4,01/01/2012
POS,3,02/01/2012
POS,3,03/01/2012
POS,5,04/01/2012
POS,7,05/01/2012
POS,2,06/01/2012
POS,8,07/01/2012
POS,15,08/01/2012
POS,10,09/01/2012
POS,19,10/01/2012
POS,4,11/01/2012
POS,1,12/01/2012
NEG,0,06/01/2008
NEG,0,08/01/2008
NEG,0,09/01/2008
NEG,1,11/01/2008
NEG,0,12/01/2008
NEG,0,05/01/2009
NEG,0,06/01/2009
NEG,0,07/01/2009
NEG,3,08/01/2009
NEG,2,09/01/2009
NEG,1,10/01/2009
NEG,0,11/01/2009
NEG,2,12/01/2009
NEG,0,01/01/2010
NEG,1,02/01/2010
NEG,1,03/01/2010
NEG,1,04/01/2010
NEG,2,05/01/2010
NEG,3,06/01/2010
NEG,3,07/01/2010
NEG,6,08/01/2010
NEG,6,09/01/2010
NEG,4,10/01/2010
NEG,1,11/01/2010
NEG,1,12/01/2010
NEG,1,01/01/2011
NEG,3,02/01/2011
NEG,1,03/01/2011
NEG,3,04/01/2011
NEG,1,05/01/2011
NEG,3,06/01/2011
NEG,8,07/01/2011
NEG,5,08/01/2011
NEG,2,09/01/2011
NEG,3,10/01/2011
NEG,2,11/01/2011
NEG,1,12/01/2011
NEG,1,01/01/2012
NEG,1,02/01/2012
NEG,1,03/01/2012
NEG,1,04/01/2012
NEG,1,05/01/2012
NEG,4,06/01/2012
NEG,8,07/01/2012
NEG,2,08/01/2012
NEG,0,09/01/2012
NEG,5,10/01/2012
NEG,1,11/01/2012
NEG,1,12/01/2012
