key,value,date
POS,2,05/01/2009
POS,4,06/01/2009
POS,14,07/01/2009
POS,9,08/01/2009
POS,3,09/01/2009
POS,5,10/01/2009
POS,9,11/01/2009
POS,8,12/01/2009
POS,4,01/01/2010
POS,4,02/01/2010
POS,4,03/01/2010
POS,17,04/01/2010
POS,7,05/01/2010
POS,15,06/01/2010
POS,11,07/01/2010
POS,8,08/01/2010
POS,10,09/01/2010
POS,8,10/01/2010
POS,10,11/01/2010
POS,6,12/01/2010
POS,6,01/01/2011
POS,10,02/01/2011
POS,10,03/01/2011
POS,16,04/01/2011
POS,9,05/01/2011
POS,14,06/01/2011
POS,16,07/01/2011
POS,26,08/01/2011
POS,25,09/01/2011
POS,26,10/01/2011
POS,22,11/01/2011
POS,16,12/01/2011
POS,13,01/01/2012
POS,12,02/01/2012
POS,7,03/01/2012
POS,15,04/01/2012
POS,10,05/01/2012
POS,12,06/01/2012
POS,11,07/01/2012
POS,19,08/01/2012
POS,18,09/01/2012
POS,8,10/01/2012
POS,17,11/01/2012
POS,5,12/01/2012
NEG,0,05/01/2009
NEG,0,06/01/2009
NEG,1,07/01/2009
NEG,1,08/01/2009
NEG,2,09/01/2009
NEG,0,10/01/2009
NEG,0,11/01/2009
NEG,0,12/01/2009
NEG,1,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,0,05/01/2010
NEG,1,06/01/2010
NEG,0,07/01/2010
NEG,1,08/01/2010
NEG,2,09/01/2010
NEG,0,10/01/2010
NEG,4,11/01/2010
NEG,2,12/01/2010
NEG,1,01/01/2011
NEG,3,02/01/2011
NEG,2,03/01/2011
NEG,0,04/01/2011
NEG,4,05/01/2011
NEG,1,06/01/2011
NEG,3,07/01/2011
NEG,11,08/01/2011
NEG,4,09/01/2011
NEG,2,10/01/2011
NEG,4,11/01/2011
NEG,1,12/01/2011
NEG,2,01/01/2012
NEG,0,02/01/2012
NEG,0,03/01/2012
NEG,4,04/01/2012
NEG,2,05/01/2012
NEG,2,06/01/2012
NEG,1,07/01/2012
NEG,2,08/01/2012
NEG,1,09/01/2012
NEG,0,10/01/2012
NEG,2,11/01/2012
NEG,0,12/01/2012
