key,value,date
POS,0,01/01/2008
POS,0,02/01/2008
POS,3,03/01/2008
POS,2,04/01/2008
POS,2,05/01/2008
POS,3,06/01/2008
POS,3,07/01/2008
POS,4,08/01/2008
POS,1,09/01/2008
POS,3,10/01/2008
POS,4,11/01/2008
POS,4,12/01/2008
POS,1,01/01/2009
POS,1,02/01/2009
POS,1,03/01/2009
POS,2,05/01/2009
POS,5,06/01/2009
POS,2,07/01/2009
POS,4,08/01/2009
POS,1,09/01/2009
POS,5,10/01/2009
POS,2,11/01/2009
POS,5,12/01/2009
POS,2,01/01/2010
POS,2,02/01/2010
POS,4,03/01/2010
POS,2,04/01/2010
POS,2,05/01/2010
POS,7,06/01/2010
POS,7,07/01/2010
POS,2,08/01/2010
POS,7,09/01/2010
POS,3,10/01/2010
POS,6,11/01/2010
POS,4,12/01/2010
POS,2,01/01/2011
POS,1,02/01/2011
POS,5,03/01/2011
POS,2,04/01/2011
POS,7,05/01/2011
POS,9,06/01/2011
POS,20,07/01/2011
POS,16,08/01/2011
POS,15,09/01/2011
POS,18,10/01/2011
POS,11,11/01/2011
POS,4,12/01/2011
POS,8,01/01/2012
POS,5,02/01/2012
POS,14,03/01/2012
POS,14,04/01/2012
POS,9,05/01/2012
POS,13,06/01/2012
POS,37,07/01/2012
POS,21,08/01/2012
POS,17,09/01/2012
POS,21,10/01/2012
POS,16,11/01/2012
POS,5,12/01/2012
NEG,3,01/01/2008
NEG,3,02/01/2008
NEG,2,03/01/2008
NEG,2,04/01/2008
NEG,0,05/01/2008
NEG,6,06/01/2008
NEG,1,07/01/2008
NEG,3,08/01/2008
NEG,3,09/01/2008
NEG,6,10/01/2008
NEG,0,11/01/2008
NEG,1,12/01/2008
NEG,1,01/01/2009
NEG,1,02/01/2009
NEG,1,03/01/2009
NEG,2,05/01/2009
NEG,1,06/01/2009
NEG,3,07/01/2009
NEG,2,08/01/2009
NEG,2,09/01/2009
NEG,5,10/01/2009
NEG,3,11/01/2009
NEG,1,12/01/2009
NEG,1,01/01/2010
NEG,0,02/01/2010
NEG,2,03/01/2010
NEG,0,04/01/2010
NEG,2,05/01/2010
NEG,8,06/01/2010
NEG,3,07/01/2010
NEG,8,08/01/2010
NEG,2,09/01/2010
NEG,5,10/01/2010
NEG,5,11/01/2010
NEG,2,12/01/2010
NEG,0,01/01/2011
NEG,3,02/01/2011
NEG,3,03/01/2011
NEG,2,04/01/2011
NEG,6,05/01/2011
NEG,15,06/01/2011
NEG,14,07/01/2011
NEG,10,08/01/2011
NEG,24,09/01/2011
NEG,12,10/01/2011
NEG,10,11/01/2011
NEG,2,12/01/2011
NEG,7,01/01/2012
NEG,5,02/01/2012
NEG,9,03/01/2012
NEG,4,04/01/2012
NEG,11,05/01/2012
NEG,8,06/01/2012
NEG,15,07/01/2012
NEG,16,08/01/2012
NEG,16,09/01/2012
NEG,12,10/01/2012
NEG,3,11/01/2012
NEG,1,12/01/2012
