label,count,month
POS,1,11/01/2005
POS,2,12/01/2005
POS,1,01/01/2006
POS,1,02/01/2006
POS,1,03/01/2006
POS,0,05/01/2006
POS,4,06/01/2006
POS,5,07/01/2006
POS,4,08/01/2006
POS,6,09/01/2006
POS,6,10/01/2006
POS,4,11/01/2006
POS,1,12/01/2006
POS,6,01/01/2007
POS,3,02/01/2007
POS,5,03/01/2007
POS,5,04/01/2007
POS,3,05/01/2007
POS,2,06/01/2007
POS,7,07/01/2007
POS,10,08/01/2007
POS,4,09/01/2007
POS,3,10/01/2007
POS,3,11/01/2007
POS,3,12/01/2007
POS,3,01/01/2008
POS,4,02/01/2008
POS,4,03/01/2008
POS,7,04/01/2008
POS,6,05/01/2008
POS,4,06/01/2008
POS,3,07/01/2008
POS,4,08/01/2008
POS,7,09/01/2008
POS,3,10/01/2008
POS,3,11/01/2008
POS,1,12/01/2008
POS,4,01/01/2009
POS,3,02/01/2009
POS,0,03/01/2009
POS,11,04/01/2009
POS,7,05/01/2009
POS,4,06/01/2009
POS,5,07/01/2009
POS,4,08/01/2009
POS,6,09/01/2009
POS,10,10/01/2009
POS,5,11/01/2009
POS,6,12/01/2009
POS,3,01/01/2010
POS,4,02/01/2010
POS,1,03/01/2010
POS,4,04/01/2010
POS,13,05/01/2010
POS,32,06/01/2010
POS,17,07/01/2010
POS,29,08/01/2010
POS,32,09/01/2010
POS,44,10/01/2010
POS,29,11/01/2010
POS,16,12/01/2010
POS,28,01/01/2011
POS,27,02/01/2011
POS,25,03/01/2011
POS,36,04/01/2011
POS,44,05/01/2011
POS,20,06/01/2011
POS,49,07/01/2011
POS,56,08/01/2011
POS,34,09/01/2011
POS,46,10/01/2011
POS,35,11/01/2011
POS,33,12/01/2011
POS,28,01/01/2012
POS,20,02/01/2012
POS,29,03/01/2012
POS,37,04/01/2012
POS,33,05/01/2012
POS,38,06/01/2012
POS,52,07/01/2012
POS,64,08/01/2012
POS,45,09/01/2012
POS,26,10/01/2012
POS,33,11/01/2012
POS,21,12/01/2012
NEG,1,11/01/2005
NEG,0,12/01/2005
NEG,0,01/01/2006
NEG,0,02/01/2006
NEG,0,03/01/2006
NEG,1,05/01/2006
NEG,0,06/01/2006
NEG,2,07/01/2006
NEG,0,08/01/2006
NEG,1,09/01/2006
NEG,0,10/01/2006
NEG,1,11/01/2006
NEG,0,12/01/2006
NEG,0,01/01/2007
NEG,1,02/01/2007
NEG,0,03/01/2007
NEG,0,04/01/2007
NEG,1,05/01/2007
NEG,0,06/01/2007
NEG,1,07/01/2007
NEG,0,08/01/2007
NEG,1,09/01/2007
NEG,2,10/01/2007
NEG,0,11/01/2007
NEG,0,12/01/2007
NEG,0,01/01/2008
NEG,1,02/01/2008
NEG,2,03/01/2008
NEG,1,04/01/2008
NEG,0,05/01/2008
NEG,0,06/01/2008
NEG,1,07/01/2008
NEG,4,08/01/2008
NEG,0,09/01/2008
NEG,1,10/01/2008
NEG,1,11/01/2008
NEG,0,12/01/2008
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,2,03/01/2009
NEG,0,04/01/2009
NEG,1,05/01/2009
NEG,1,06/01/2009
NEG,4,07/01/2009
NEG,1,08/01/2009
NEG,2,09/01/2009
NEG,1,10/01/2009
NEG,2,11/01/2009
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,1,03/01/2010
NEG,0,04/01/2010
NEG,2,05/01/2010
NEG,3,06/01/2010
NEG,1,07/01/2010
NEG,5,08/01/2010
NEG,1,09/01/2010
NEG,2,10/01/2010
NEG,2,11/01/2010
NEG,0,12/01/2010
NEG,4,01/01/2011
NEG,2,02/01/2011
NEG,1,03/01/2011
NEG,2,04/01/2011
NEG,7,05/01/2011
NEG,3,06/01/2011
NEG,2,07/01/2011
NEG,5,08/01/2011
NEG,3,09/01/2011
NEG,2,10/01/2011
NEG,3,11/01/2011
NEG,3,12/01/2011
NEG,1,01/01/2012
NEG,2,02/01/2012
NEG,1,03/01/2012
NEG,2,04/01/2012
NEG,4,05/01/2012
NEG,0,06/01/2012
NEG,3,07/01/2012
NEG,3,08/01/2012
NEG,3,09/01/2012
NEG,1,10/01/2012
NEG,1,11/01/2012
NEG,2,12/01/2012
