key,value,date
POS,4,07/01/2008
POS,4,08/01/2008
POS,6,09/01/2008
POS,6,10/01/2008
POS,5,11/01/2008
POS,6,12/01/2008
POS,3,01/01/2009
POS,8,02/01/2009
POS,5,03/01/2009
POS,10,04/01/2009
POS,4,05/01/2009
POS,7,06/01/2009
POS,6,07/01/2009
POS,9,08/01/2009
POS,4,09/01/2009
POS,15,10/01/2009
POS,5,11/01/2009
POS,7,12/01/2009
POS,8,01/01/2010
POS,3,02/01/2010
POS,6,03/01/2010
POS,11,04/01/2010
POS,5,05/01/2010
POS,3,06/01/2010
POS,14,07/01/2010
POS,8,08/01/2010
POS,5,09/01/2010
POS,8,10/01/2010
POS,5,11/01/2010
POS,2,12/01/2010
POS,7,01/01/2011
POS,7,02/01/2011
POS,5,03/01/2011
POS,10,04/01/2011
POS,6,05/01/2011
POS,6,06/01/2011
POS,11,07/01/2011
POS,23,08/01/2011
POS,23,09/01/2011
POS,16,10/01/2011
POS,18,11/01/2011
POS,4,12/01/2011
POS,23,01/01/2012
POS,11,02/01/2012
POS,21,03/01/2012
POS,25,04/01/2012
POS,17,05/01/2012
POS,23,06/01/2012
POS,43,07/01/2012
POS,33,08/01/2012
POS,21,09/01/2012
POS,30,10/01/2012
POS,28,11/01/2012
POS,4,12/01/2012
NEG,0,07/01/2008
NEG,0,08/01/2008
NEG,0,09/01/2008
NEG,0,10/01/2008
NEG,0,11/01/2008
NEG,1,12/01/2008
NEG,0,01/01/2009
NEG,2,02/01/2009
NEG,0,03/01/2009
NEG,0,04/01/2009
NEG,1,05/01/2009
NEG,1,06/01/2009
NEG,3,07/01/2009
NEG,1,08/01/2009
NEG,4,09/01/2009
NEG,0,10/01/2009
NEG,3,11/01/2009
NEG,1,12/01/2009
NEG,0,01/01/2010
NEG,2,02/01/2010
NEG,0,03/01/2010
NEG,2,04/01/2010
NEG,1,05/01/2010
NEG,0,06/01/2010
NEG,0,07/01/2010
NEG,2,08/01/2010
NEG,1,09/01/2010
NEG,0,10/01/2010
NEG,2,11/01/2010
NEG,1,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,3,05/01/2011
NEG,1,06/01/2011
NEG,6,07/01/2011
NEG,2,08/01/2011
NEG,4,09/01/2011
NEG,2,10/01/2011
NEG,4,11/01/2011
NEG,2,12/01/2011
NEG,2,01/01/2012
NEG,0,02/01/2012
NEG,4,03/01/2012
NEG,2,04/01/2012
NEG,3,05/01/2012
NEG,2,06/01/2012
NEG,3,07/01/2012
NEG,3,08/01/2012
NEG,5,09/01/2012
NEG,3,10/01/2012
NEG,2,11/01/2012
NEG,0,12/01/2012
