label,count,month
POS,0,11/01/2002
POS,1,04/01/2003
POS,2,06/01/2003
POS,0,07/01/2003
POS,3,08/01/2003
POS,2,09/01/2003
POS,1,11/01/2003
POS,2,03/01/2004
POS,3,05/01/2004
POS,2,06/01/2004
POS,1,07/01/2004
POS,3,08/01/2004
POS,4,09/01/2004
POS,3,10/01/2004
POS,4,12/01/2004
POS,4,01/01/2005
POS,1,02/01/2005
POS,2,03/01/2005
POS,5,04/01/2005
POS,6,05/01/2005
POS,2,06/01/2005
POS,8,07/01/2005
POS,3,08/01/2005
POS,6,09/01/2005
POS,4,10/01/2005
POS,4,11/01/2005
POS,2,12/01/2005
POS,2,01/01/2006
POS,1,02/01/2006
POS,3,03/01/2006
POS,2,04/01/2006
POS,4,05/01/2006
POS,3,06/01/2006
POS,5,07/01/2006
POS,8,08/01/2006
POS,4,09/01/2006
POS,4,11/01/2006
POS,2,12/01/2006
POS,5,01/01/2007
POS,3,02/01/2007
POS,4,03/01/2007
POS,5,04/01/2007
POS,2,05/01/2007
POS,5,06/01/2007
POS,7,07/01/2007
POS,7,08/01/2007
POS,9,09/01/2007
POS,9,10/01/2007
POS,5,11/01/2007
POS,8,12/01/2007
POS,5,01/01/2008
POS,3,02/01/2008
POS,6,03/01/2008
POS,7,04/01/2008
POS,5,05/01/2008
POS,3,06/01/2008
POS,5,07/01/2008
POS,9,08/01/2008
POS,8,09/01/2008
POS,8,10/01/2008
POS,6,11/01/2008
POS,2,12/01/2008
POS,4,01/01/2009
POS,1,02/01/2009
POS,2,03/01/2009
POS,3,04/01/2009
POS,6,05/01/2009
POS,9,06/01/2009
POS,3,07/01/2009
POS,6,08/01/2009
POS,5,09/01/2009
POS,9,10/01/2009
POS,3,11/01/2009
POS,6,12/01/2009
POS,4,01/01/2010
POS,5,02/01/2010
POS,6,03/01/2010
POS,5,04/01/2010
POS,3,05/01/2010
POS,8,06/01/2010
POS,12,07/01/2010
POS,12,08/01/2010
POS,12,09/01/2010
POS,10,10/01/2010
POS,10,11/01/2010
POS,5,12/01/2010
POS,3,01/01/2011
POS,9,02/01/2011
POS,6,03/01/2011
POS,8,04/01/2011
POS,11,05/01/2011
POS,15,06/01/2011
POS,27,07/01/2011
POS,36,08/01/2011
POS,24,09/01/2011
POS,23,10/01/2011
POS,23,11/01/2011
POS,17,12/01/2011
POS,21,01/01/2012
POS,13,02/01/2012
POS,12,03/01/2012
POS,27,04/01/2012
POS,30,05/01/2012
POS,32,06/01/2012
POS,57,07/01/2012
POS,45,08/01/2012
POS,41,09/01/2012
POS,33,10/01/2012
POS,29,11/01/2012
POS,13,12/01/2012
NEG,1,11/01/2002
NEG,0,04/01/2003
NEG,0,06/01/2003
NEG,1,07/01/2003
NEG,0,08/01/2003
NEG,0,09/01/2003
NEG,0,11/01/2003
NEG,0,03/01/2004
NEG,0,05/01/2004
NEG,0,06/01/2004
NEG,1,07/01/2004
NEG,2,08/01/2004
NEG,1,09/01/2004
NEG,0,10/01/2004
NEG,1,12/01/2004
NEG,0,01/01/2005
NEG,1,02/01/2005
NEG,0,03/01/2005
NEG,0,04/01/2005
NEG,0,05/01/2005
NEG,1,06/01/2005
NEG,0,07/01/2005
NEG,2,08/01/2005
NEG,1,09/01/2005
NEG,2,10/01/2005
NEG,1,11/01/2005
NEG,1,12/01/2005
NEG,0,01/01/2006
NEG,1,02/01/2006
NEG,1,03/01/2006
NEG,1,04/01/2006
NEG,0,05/01/2006
NEG,0,06/01/2006
NEG,1,07/01/2006
NEG,3,08/01/2006
NEG,0,09/01/2006
NEG,1,11/01/2006
NEG,1,12/01/2006
NEG,0,01/01/2007
NEG,2,02/01/2007
NEG,0,03/01/2007
NEG,3,04/01/2007
NEG,2,05/01/2007
NEG,1,06/01/2007
NEG,3,07/01/2007
NEG,1,08/01/2007
NEG,1,09/01/2007
NEG,1,10/01/2007
NEG,0,11/01/2007
NEG,0,12/01/2007
NEG,0,01/01/2008
NEG,0,02/01/2008
NEG,2,03/01/2008
NEG,1,04/01/2008
NEG,0,05/01/2008
NEG,4,06/01/2008
NEG,2,07/01/2008
NEG,4,08/01/2008
NEG,2,09/01/2008
NEG,4,10/01/2008
NEG,1,11/01/2008
NEG,0,12/01/2008
NEG,4,01/01/2009
NEG,2,02/01/2009
NEG,2,03/01/2009
NEG,3,04/01/2009
NEG,1,05/01/2009
NEG,5,06/01/2009
NEG,2,07/01/2009
NEG,3,08/01/2009
NEG,2,09/01/2009
NEG,2,10/01/2009
NEG,4,11/01/2009
NEG,1,12/01/2009
NEG,2,01/01/2010
NEG,1,02/01/2010
NEG,6,03/01/2010
NEG,5,04/01/2010
NEG,3,05/01/2010
NEG,4,06/01/2010
NEG,3,07/01/2010
NEG,1,08/01/2010
NEG,3,09/01/2010
NEG,6,10/01/2010
NEG,4,11/01/2010
NEG,2,12/01/2010
NEG,1,01/01/2011
NEG,4,02/01/2011
NEG,0,03/01/2011
NEG,1,04/01/2011
NEG,0,05/01/2011
NEG,8,06/01/2011
NEG,9,07/01/2011
NEG,7,08/01/2011
NEG,8,09/01/2011
NEG,7,10/01/2011
NEG,7,11/01/2011
NEG,1,12/01/2011
NEG,4,01/01/2012
NEG,4,02/01/2012
NEG,7,03/01/2012
NEG,4,04/01/2012
NEG,4,05/01/2012
NEG,9,06/01/2012
NEG,9,07/01/2012
NEG,21,08/01/2012
NEG,7,09/01/2012
NEG,7,10/01/2012
NEG,6,11/01/2012
NEG,5,12/01/2012
