key,value,date
POS,1,10/01/2007
POS,3,11/01/2007
POS,7,12/01/2007
POS,4,01/01/2008
POS,7,02/01/2008
POS,5,03/01/2008
POS,3,04/01/2008
POS,7,05/01/2008
POS,9,06/01/2008
POS,8,07/01/2008
POS,12,08/01/2008
POS,9,09/01/2008
POS,1,10/01/2008
POS,6,11/01/2008
POS,8,12/01/2008
POS,12,01/01/2009
POS,2,02/01/2009
POS,3,03/01/2009
POS,5,04/01/2009
POS,8,05/01/2009
POS,6,06/01/2009
POS,9,07/01/2009
POS,10,08/01/2009
POS,17,09/01/2009
POS,12,10/01/2009
POS,4,11/01/2009
POS,14,12/01/2009
POS,12,01/01/2010
POS,11,02/01/2010
POS,16,03/01/2010
POS,17,04/01/2010
POS,12,05/01/2010
POS,12,06/01/2010
POS,27,07/01/2010
POS,22,08/01/2010
POS,18,09/01/2010
POS,18,10/01/2010
POS,8,11/01/2010
POS,11,12/01/2010
POS,23,01/01/2011
POS,13,02/01/2011
POS,25,03/01/2011
POS,16,04/01/2011
POS,19,05/01/2011
POS,24,06/01/2011
POS,31,07/01/2011
POS,40,08/01/2011
POS,24,09/01/2011
POS,18,10/01/2011
POS,12,11/01/2011
POS,25,12/01/2011
POS,22,01/01/2012
POS,15,02/01/2012
POS,16,03/01/2012
POS,23,04/01/2012
POS,26,05/01/2012
POS,25,06/01/2012
POS,26,07/01/2012
POS,22,08/01/2012
POS,20,09/01/2012
POS,24,10/01/2012
POS,18,11/01/2012
POS,6,12/01/2012
NEG,0,10/01/2007
NEG,1,11/01/2007
NEG,0,12/01/2007
NEG,0,01/01/2008
NEG,0,02/01/2008
NEG,2,03/01/2008
NEG,1,04/01/2008
NEG,0,05/01/2008
NEG,0,06/01/2008
NEG,0,07/01/2008
NEG,1,08/01/2008
NEG,0,09/01/2008
NEG,1,10/01/2008
NEG,0,11/01/2008
NEG,0,12/01/2008
NEG,1,01/01/2009
NEG,1,02/01/2009
NEG,0,03/01/2009
NEG,0,04/01/2009
NEG,0,05/01/2009
NEG,1,06/01/2009
NEG,2,07/01/2009
NEG,1,08/01/2009
NEG,1,09/01/2009
NEG,2,10/01/2009
NEG,0,11/01/2009
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,1,05/01/2010
NEG,0,06/01/2010
NEG,1,07/01/2010
NEG,3,08/01/2010
NEG,0,09/01/2010
NEG,1,10/01/2010
NEG,1,11/01/2010
NEG,2,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,1,03/01/2011
NEG,0,04/01/2011
NEG,2,05/01/2011
NEG,2,06/01/2011
NEG,3,07/01/2011
NEG,6,08/01/2011
NEG,4,09/01/2011
NEG,1,10/01/2011
NEG,1,11/01/2011
NEG,2,12/01/2011
NEG,0,01/01/2012
NEG,2,02/01/2012
NEG,1,03/01/2012
NEG,4,04/01/2012
NEG,1,05/01/2012
NEG,0,06/01/2012
NEG,5,07/01/2012
NEG,5,08/01/2012
NEG,1,09/01/2012
NEG,4,10/01/2012
NEG,4,11/01/2012
NEG,0,12/01/2012
