label,count,month
POS,1,06/01/2008
POS,8,08/01/2008
POS,1,09/01/2008
POS,1,10/01/2008
POS,1,11/01/2008
POS,1,12/01/2008
POS,1,01/01/2009
POS,2,02/01/2009
POS,2,03/01/2009
POS,2,04/01/2009
POS,5,05/01/2009
POS,1,06/01/2009
POS,10,07/01/2009
POS,6,08/01/2009
POS,7,09/01/2009
POS,6,10/01/2009
POS,5,11/01/2009
POS,0,12/01/2009
POS,3,01/01/2010
POS,1,02/01/2010
POS,5,03/01/2010
POS,2,04/01/2010
POS,10,05/01/2010
POS,12,06/01/2010
POS,13,07/01/2010
POS,13,08/01/2010
POS,8,09/01/2010
POS,16,10/01/2010
POS,5,11/01/2010
POS,5,12/01/2010
POS,5,01/01/2011
POS,1,02/01/2011
POS,7,03/01/2011
POS,6,04/01/2011
POS,7,05/01/2011
POS,12,06/01/2011
POS,20,07/01/2011
POS,27,08/01/2011
POS,25,09/01/2011
POS,18,10/01/2011
POS,16,11/01/2011
POS,11,12/01/2011
POS,10,01/01/2012
POS,9,02/01/2012
POS,13,03/01/2012
POS,14,04/01/2012
POS,24,05/01/2012
POS,12,06/01/2012
POS,29,07/01/2012
POS,25,08/01/2012
POS,26,09/01/2012
POS,23,10/01/2012
POS,17,11/01/2012
POS,14,12/01/2012
NEG,0,06/01/2008
NEG,1,08/01/2008
NEG,6,09/01/2008
NEG,1,10/01/2008
NEG,2,11/01/2008
NEG,0,12/01/2008
NEG,3,01/01/2009
NEG,0,02/01/2009
NEG,1,03/01/2009
NEG,2,04/01/2009
NEG,1,05/01/2009
NEG,0,06/01/2009
NEG,4,07/01/2009
NEG,1,08/01/2009
NEG,4,09/01/2009
NEG,3,10/01/2009
NEG,4,11/01/2009
NEG,1,12/01/2009
NEG,4,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,1,04/01/2010
NEG,1,05/01/2010
NEG,3,06/01/2010
NEG,5,07/01/2010
NEG,2,08/01/2010
NEG,4,09/01/2010
NEG,0,10/01/2010
NEG,2,11/01/2010
NEG,1,12/01/2010
NEG,1,01/01/2011
NEG,0,02/01/2011
NEG,4,03/01/2011
NEG,2,04/01/2011
NEG,2,05/01/2011
NEG,3,06/01/2011
NEG,5,07/01/2011
NEG,3,08/01/2011
NEG,5,09/01/2011
NEG,5,10/01/2011
NEG,4,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,3,02/01/2012
NEG,4,03/01/2012
NEG,3,04/01/2012
NEG,2,05/01/2012
NEG,2,06/01/2012
NEG,3,07/01/2012
NEG,8,08/01/2012
NEG,4,09/01/2012
NEG,5,10/01/2012
NEG,4,11/01/2012
NEG,4,12/01/2012
