label,count,month
POS,7,04/01/2009
POS,7,05/01/2009
POS,10,06/01/2009
POS,9,07/01/2009
POS,11,08/01/2009
POS,6,09/01/2009
POS,5,10/01/2009
POS,12,11/01/2009
POS,3,12/01/2009
POS,8,01/01/2010
POS,13,02/01/2010
POS,8,03/01/2010
POS,5,04/01/2010
POS,5,05/01/2010
POS,11,06/01/2010
POS,5,07/01/2010
POS,12,08/01/2010
POS,9,09/01/2010
POS,10,10/01/2010
POS,10,11/01/2010
POS,18,12/01/2010
POS,14,01/01/2011
POS,9,02/01/2011
POS,14,03/01/2011
POS,7,04/01/2011
POS,10,05/01/2011
POS,13,06/01/2011
POS,24,07/01/2011
POS,27,08/01/2011
POS,22,09/01/2011
POS,20,10/01/2011
POS,8,11/01/2011
POS,7,12/01/2011
POS,9,01/01/2012
POS,17,02/01/2012
POS,10,03/01/2012
POS,16,04/01/2012
POS,10,05/01/2012
POS,13,06/01/2012
POS,19,07/01/2012
POS,23,08/01/2012
POS,12,09/01/2012
POS,11,10/01/2012
POS,8,11/01/2012
POS,7,12/01/2012
NEG,0,04/01/2009
NEG,2,05/01/2009
NEG,1,06/01/2009
NEG,3,07/01/2009
NEG,3,08/01/2009
NEG,3,09/01/2009
NEG,5,10/01/2009
NEG,2,11/01/2009
NEG,2,12/01/2009
NEG,1,01/01/2010
NEG,7,02/01/2010
NEG,1,03/01/2010
NEG,3,04/01/2010
NEG,3,05/01/2010
NEG,4,06/01/2010
NEG,2,07/01/2010
NEG,4,08/01/2010
NEG,4,09/01/2010
NEG,3,10/01/2010
NEG,1,11/01/2010
NEG,5,12/01/2010
NEG,4,01/01/2011
NEG,2,02/01/2011
NEG,4,03/01/2011
NEG,4,04/01/2011
NEG,3,05/01/2011
NEG,6,06/01/2011
NEG,11,07/01/2011
NEG,3,08/01/2011
NEG,2,09/01/2011
NEG,7,10/01/2011
NEG,8,11/01/2011
NEG,3,12/01/2011
NEG,4,01/01/2012
NEG,0,02/01/2012
NEG,4,03/01/2012
NEG,2,04/01/2012
NEG,4,05/01/2012
NEG,3,06/01/2012
NEG,9,07/01/2012
NEG,5,08/01/2012
NEG,4,09/01/2012
NEG,4,10/01/2012
NEG,5,11/01/2012
NEG,4,12/01/2012
