label,count,month
POS,0,02/01/2003
POS,1,03/01/2003
POS,0,05/01/2003
POS,1,06/01/2003
POS,1,07/01/2003
POS,0,08/01/2003
POS,2,09/01/2003
POS,0,11/01/2003
POS,1,12/01/2003
POS,3,01/01/2004
POS,2,02/01/2004
POS,4,03/01/2004
POS,2,04/01/2004
POS,2,05/01/2004
POS,5,06/01/2004
POS,4,07/01/2004
POS,5,08/01/2004
POS,1,09/01/2004
POS,1,10/01/2004
POS,0,11/01/2004
POS,4,12/01/2004
POS,3,01/01/2005
POS,7,02/01/2005
POS,6,03/01/2005
POS,6,04/01/2005
POS,3,05/01/2005
POS,3,06/01/2005
POS,6,07/01/2005
POS,7,08/01/2005
POS,6,09/01/2005
POS,2,10/01/2005
POS,3,11/01/2005
POS,2,12/01/2005
POS,8,01/01/2006
POS,6,02/01/2006
POS,6,03/01/2006
POS,4,04/01/2006
POS,4,05/01/2006
POS,10,06/01/2006
POS,10,07/01/2006
POS,4,08/01/2006
POS,5,09/01/2006
POS,6,10/01/2006
POS,2,11/01/2006
POS,6,12/01/2006
POS,6,01/01/2007
POS,17,02/01/2007
POS,9,03/01/2007
POS,10,04/01/2007
POS,6,05/01/2007
POS,6,06/01/2007
POS,6,07/01/2007
POS,11,08/01/2007
POS,11,09/01/2007
POS,7,10/01/2007
POS,6,11/01/2007
POS,13,12/01/2007
POS,6,01/01/2008
POS,6,02/01/2008
POS,5,03/01/2008
POS,10,04/01/2008
POS,6,05/01/2008
POS,12,06/01/2008
POS,16,07/01/2008
POS,4,08/01/2008
POS,12,09/01/2008
POS,8,10/01/2008
POS,4,11/01/2008
POS,4,12/01/2008
POS,3,01/01/2009
POS,4,02/01/2009
POS,9,03/01/2009
POS,11,04/01/2009
POS,12,05/01/2009
POS,14,06/01/2009
POS,16,07/01/2009
POS,19,08/01/2009
POS,16,09/01/2009
POS,34,10/01/2009
POS,15,11/01/2009
POS,8,12/01/2009
POS,7,01/01/2010
POS,6,02/01/2010
POS,8,03/01/2010
POS,7,04/01/2010
POS,20,05/01/2010
POS,15,06/01/2010
POS,18,07/01/2010
POS,18,08/01/2010
POS,19,09/01/2010
POS,34,10/01/2010
POS,14,11/01/2010
POS,11,12/01/2010
POS,9,01/01/2011
POS,8,02/01/2011
POS,14,03/01/2011
POS,14,04/01/2011
POS,25,05/01/2011
POS,40,06/01/2011
POS,80,07/01/2011
POS,86,08/01/2011
POS,70,09/01/2011
POS,58,10/01/2011
POS,46,11/01/2011
POS,60,12/01/2011
POS,58,01/01/2012
POS,41,02/01/2012
POS,51,03/01/2012
POS,42,04/01/2012
POS,44,05/01/2012
POS,44,06/01/2012
POS,83,07/01/2012
POS,86,08/01/2012
POS,57,09/01/2012
POS,43,10/01/2012
POS,61,11/01/2012
POS,34,12/01/2012
NEG,1,02/01/2003
NEG,0,03/01/2003
NEG,2,05/01/2003
NEG,0,06/01/2003
NEG,1,07/01/2003
NEG,1,08/01/2003
NEG,0,09/01/2003
NEG,1,11/01/2003
NEG,1,12/01/2003
NEG,0,01/01/2004
NEG,1,02/01/2004
NEG,2,03/01/2004
NEG,0,04/01/2004
NEG,2,05/01/2004
NEG,0,06/01/2004
NEG,0,07/01/2004
NEG,1,08/01/2004
NEG,0,09/01/2004
NEG,0,10/01/2004
NEG,2,11/01/2004
NEG,1,12/01/2004
NEG,1,01/01/2005
NEG,1,02/01/2005
NEG,3,03/01/2005
NEG,2,04/01/2005
NEG,0,05/01/2005
NEG,0,06/01/2005
NEG,3,07/01/2005
NEG,0,08/01/2005
NEG,1,09/01/2005
NEG,2,10/01/2005
NEG,1,11/01/2005
NEG,3,12/01/2005
NEG,0,01/01/2006
NEG,1,02/01/2006
NEG,4,03/01/2006
NEG,1,04/01/2006
NEG,0,05/01/2006
NEG,1,06/01/2006
NEG,4,07/01/2006
NEG,3,08/01/2006
NEG,1,09/01/2006
NEG,2,10/01/2006
NEG,1,11/01/2006
NEG,3,12/01/2006
NEG,2,01/01/2007
NEG,2,02/01/2007
NEG,6,03/01/2007
NEG,4,04/01/2007
NEG,4,05/01/2007
NEG,3,06/01/2007
NEG,1,07/01/2007
