key,value,date
POS,2,06/01/2003
POS,1,08/01/2003
POS,1,11/01/2003
POS,1,02/01/2004
POS,1,03/01/2004
POS,0,04/01/2004
POS,1,05/01/2004
POS,2,07/01/2004
POS,2,08/01/2004
POS,1,09/01/2004
POS,1,12/01/2004
POS,3,01/01/2005
POS,3,02/01/2005
POS,0,03/01/2005
POS,2,04/01/2005
POS,5,05/01/2005
POS,5,06/01/2005
POS,4,07/01/2005
POS,4,08/01/2005
POS,3,09/01/2005
POS,0,10/01/2005
POS,1,11/01/2005
POS,2,02/01/2006
POS,4,03/01/2006
POS,2,04/01/2006
POS,4,05/01/2006
POS,4,06/01/2006
POS,1,07/01/2006
POS,5,08/01/2006
POS,2,09/01/2006
POS,2,10/01/2006
POS,2,12/01/2006
POS,7,01/01/2007
POS,5,02/01/2007
POS,3,03/01/2007
POS,2,04/01/2007
POS,2,05/01/2007
POS,6,06/01/2007
POS,4,07/01/2007
POS,6,08/01/2007
POS,6,09/01/2007
POS,4,10/01/2007
POS,6,11/01/2007
POS,3,12/01/2007
POS,9,01/01/2008
POS,10,02/01/2008
POS,12,03/01/2008
POS,3,04/01/2008
POS,8,05/01/2008
POS,12,06/01/2008
POS,15,07/01/2008
POS,9,08/01/2008
POS,7,09/01/2008
POS,19,10/01/2008
POS,13,11/01/2008
POS,20,12/01/2008
POS,10,01/01/2009
POS,10,02/01/2009
POS,6,03/01/2009
POS,12,04/01/2009
POS,15,05/01/2009
POS,20,06/01/2009
POS,19,07/01/2009
POS,20,08/01/2009
POS,13,09/01/2009
POS,12,10/01/2009
POS,8,11/01/2009
POS,8,12/01/2009
POS,9,01/01/2010
POS,8,02/01/2010
POS,2,03/01/2010
POS,7,04/01/2010
POS,3,05/01/2010
POS,11,06/01/2010
POS,8,07/01/2010
POS,13,08/01/2010
POS,6,09/01/2010
POS,11,10/01/2010
POS,11,11/01/2010
POS,6,12/01/2010
POS,12,01/01/2011
POS,6,02/01/2011
POS,8,03/01/2011
POS,13,04/01/2011
POS,5,05/01/2011
POS,17,06/01/2011
POS,22,07/01/2011
POS,19,08/01/2011
POS,27,09/01/2011
POS,10,10/01/2011
POS,18,11/01/2011
POS,17,12/01/2011
POS,17,01/01/2012
POS,17,02/01/2012
POS,24,03/01/2012
POS,26,04/01/2012
POS,24,05/01/2012
POS,36,06/01/2012
POS,51,07/01/2012
POS,75,08/01/2012
POS,47,09/01/2012
POS,42,10/01/2012
POS,36,11/01/2012
POS,20,12/01/2012
NEG,0,06/01/2003
NEG,1,08/01/2003
NEG,0,11/01/2003
NEG,0,02/01/2004
NEG,0,03/01/2004
NEG,1,04/01/2004
NEG,1,05/01/2004
NEG,0,07/01/2004
NEG,0,08/01/2004
NEG,2,09/01/2004
NEG,0,12/01/2004
NEG,0,01/01/2005
NEG,0,02/01/2005
NEG,1,03/01/2005
NEG,0,04/01/2005
NEG,0,05/01/2005
NEG,2,06/01/2005
NEG,2,07/01/2005
NEG,0,08/01/2005
NEG,1,09/01/2005
NEG,2,10/01/2005
NEG,0,11/01/2005
NEG,0,02/01/2006
NEG,2,03/01/2006
NEG,2,04/01/2006
NEG,1,05/01/2006
NEG,1,06/01/2006
NEG,2,07/01/2006
NEG,1,08/01/2006
NEG,0,09/01/2006
NEG,0,10/01/2006
NEG,0,12/01/2006
NEG,0,01/01/2007
NEG,1,02/01/2007
NEG,0,03/01/2007
NEG,2,04/01/2007
NEG,2,05/01/2007
NEG,0,06/01/2007
NEG,1,07/01/2007
NEG,3,08/01/2007
NEG,0,09/01/2007
NEG,1,10/01/2007
NEG,1,11/01/2007
NEG,2,12/01/2007
NEG,0,01/01/2008
NEG,0,02/01/2008
NEG,0,03/01/2008
NEG,3,04/01/2008
NEG,2,05/01/2008
NEG,1,06/01/2008
NEG,5,07/01/2008
NEG,4,08/01/2008
NEG,1,09/01/2008
NEG,1,10/01/2008
NEG,1,11/01/2008
NEG,0,12/01/2008
NEG,0,01/01/2009
NEG,1,02/01/2009
NEG,5,03/01/2009
NEG,2,04/01/2009
NEG,5,05/01/2009
NEG,4,06/01/2009
NEG,5,07/01/2009
NEG,0,08/01/2009
NEG,2,09/01/2009
NEG,2,10/01/2009
NEG,1,11/01/2009
NEG,2,12/01/2009
NEG,0,01/01/2010
NEG,1,02/01/2010
NEG,0,03/01/2010
NEG,4,04/01/2010
NEG,3,05/01/2010
NEG,5,06/01/2010
NEG,3,07/01/2010
NEG,6,08/01/2010
NEG,1,09/01/2010
NEG,0,10/01/2010
NEG,2,11/01/2010
NEG,2,12/01/2010
NEG,4,01/01/2011
NEG,1,02/01/2011
NEG,3,03/01/2011
NEG,5,04/01/2011
NEG,3,05/01/2011
NEG,5,06/01/2011
NEG,7,07/01/2011
NEG,5,08/01/2011
NEG,7,09/01/2011
NEG,7,10/01/2011
NEG,1,11/01/2011
NEG,6,12/01/2011
NEG,6,01/01/2012
NEG,5,02/01/2012
NEG,4,03/01/2012
NEG,5,04/01/2012
NEG,3,05/01/2012
NEG,2,06/01/2012
NEG,6,07/01/2012
NEG,10,08/01/2012
NEG,9,09/01/2012
NEG,12,10/01/2012
NEG,3,11/01/2012
NEG,5,12/01/2012
