label,count,month
POS,2,12/01/2010
POS,7,01/01/2011
POS,5,02/01/2011
POS,6,03/01/2011
POS,4,04/01/2011
POS,7,05/01/2011
POS,9,06/01/2011
POS,9,07/01/2011
POS,9,08/01/2011
POS,12,09/01/2011
POS,12,10/01/2011
POS,10,11/01/2011
POS,9,12/01/2011
POS,11,01/01/2012
POS,3,02/01/2012
POS,10,03/01/2012
POS,8,04/01/2012
POS,15,05/01/2012
POS,15,06/01/2012
POS,23,07/01/2012
POS,17,08/01/2012
POS,15,09/01/2012
POS,10,10/01/2012
POS,17,11/01/2012
POS,5,12/01/2012
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,2,03/01/2011
NEG,0,04/01/2011
NEG,2,05/01/2011
NEG,3,06/01/2011
NEG,0,07/01/2011
NEG,1,08/01/2011
NEG,1,09/01/2011
NEG,3,10/01/2011
NEG,3,11/01/2011
NEG,1,12/01/2011
NEG,1,01/01/2012
NEG,0,02/01/2012
NEG,0,03/01/2012
NEG,1,04/01/2012
NEG,0,05/01/2012
NEG,1,06/01/2012
NEG,4,07/01/2012
NEG,2,08/01/2012
NEG,1,09/01/2012
NEG,1,10/01/2012
NEG,4,11/01/2012
NEG,1,12/01/2012
