key,value,date
POS,1,05/01/2006
POS,2,06/01/2006
POS,4,07/01/2006
POS,6,08/01/2006
POS,2,09/01/2006
POS,3,10/01/2006
POS,5,11/01/2006
POS,4,12/01/2006
POS,3,01/01/2007
POS,2,02/01/2007
POS,1,03/01/2007
POS,2,04/01/2007
POS,5,05/01/2007
POS,7,06/01/2007
POS,14,07/01/2007
POS,5,08/01/2007
POS,6,09/01/2007
POS,7,10/01/2007
POS,0,11/01/2007
POS,5,12/01/2007
POS,5,01/01/2008
POS,4,02/01/2008
POS,4,03/01/2008
POS,4,04/01/2008
POS,5,05/01/2008
POS,6,06/01/2008
POS,7,07/01/2008
POS,4,08/01/2008
POS,5,09/01/2008
POS,7,10/01/2008
POS,6,11/01/2008
POS,3,12/01/2008
POS,5,01/01/2009
POS,3,02/01/2009
POS,6,03/01/2009
POS,7,04/01/2009
POS,7,05/01/2009
POS,4,06/01/2009
POS,12,07/01/2009
POS,14,08/01/2009
POS,16,09/01/2009
POS,19,10/01/2009
POS,5,11/01/2009
POS,10,12/01/2009
POS,6,01/01/2010
POS,9,02/01/2010
POS,10,03/01/2010
POS,7,04/01/2010
POS,11,05/01/2010
POS,10,06/01/2010
POS,12,07/01/2010
POS,10,08/01/2010
POS,10,09/01/2010
POS,9,10/01/2010
POS,6,11/01/2010
POS,9,12/01/2010
POS,5,01/01/2011
POS,7,02/01/2011
POS,8,03/01/2011
POS,13,04/01/2011
POS,11,05/01/2011
POS,17,06/01/2011
POS,26,07/01/2011
POS,36,08/01/2011
POS,25,09/01/2011
POS,25,10/01/2011
POS,14,11/01/2011
POS,17,12/01/2011
POS,23,01/01/2012
POS,16,02/01/2012
POS,20,03/01/2012
POS,19,04/01/2012
POS,24,05/01/2012
POS,23,06/01/2012
POS,30,07/01/2012
POS,26,08/01/2012
POS,28,09/01/2012
POS,30,10/01/2012
POS,29,11/01/2012
POS,18,12/01/2012
NEG,0,05/01/2006
NEG,0,06/01/2006
NEG,1,07/01/2006
NEG,0,08/01/2006
NEG,0,09/01/2006
NEG,0,10/01/2006
NEG,2,11/01/2006
NEG,0,12/01/2006
NEG,1,01/01/2007
NEG,0,02/01/2007
NEG,0,03/01/2007
NEG,0,04/01/2007
NEG,0,05/01/2007
NEG,0,06/01/2007
NEG,1,07/01/2007
NEG,1,08/01/2007
NEG,1,09/01/2007
NEG,0,10/01/2007
NEG,2,11/01/2007
NEG,1,12/01/2007
NEG,1,01/01/2008
NEG,0,02/01/2008
NEG,0,03/01/2008
NEG,1,04/01/2008
NEG,1,05/01/2008
NEG,0,06/01/2008
NEG,1,07/01/2008
NEG,1,08/01/2008
NEG,2,09/01/2008
NEG,2,10/01/2008
NEG,0,11/01/2008
NEG,1,12/01/2008
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,0,03/01/2009
NEG,1,04/01/2009
NEG,2,05/01/2009
NEG,0,06/01/2009
NEG,1,07/01/2009
NEG,3,08/01/2009
NEG,2,09/01/2009
NEG,0,10/01/2009
NEG,1,11/01/2009
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,2,03/01/2010
NEG,0,04/01/2010
NEG,1,05/01/2010
NEG,1,06/01/2010
NEG,2,07/01/2010
NEG,3,08/01/2010
NEG,0,09/01/2010
NEG,1,10/01/2010
NEG,1,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,1,02/01/2011
NEG,3,03/01/2011
NEG,3,04/01/2011
NEG,2,05/01/2011
NEG,2,06/01/2011
NEG,8,07/01/2011
NEG,7,08/01/2011
NEG,6,09/01/2011
NEG,4,10/01/2011
NEG,0,11/01/2011
NEG,2,12/01/2011
NEG,2,01/01/2012
NEG,1,02/01/2012
NEG,1,03/01/2012
NEG,1,04/01/2012
NEG,0,05/01/2012
NEG,5,06/01/2012
NEG,5,07/01/2012
NEG,3,08/01/2012
NEG,8,09/01/2012
NEG,0,10/01/2012
NEG,1,11/01/2012
NEG,1,12/01/2012
