label,count,month
POS,1,04/01/2009
POS,2,05/01/2009
POS,1,06/01/2009
POS,2,07/01/2009
POS,4,08/01/2009
POS,3,09/01/2009
POS,6,10/01/2009
POS,3,11/01/2009
POS,3,12/01/2009
POS,2,02/01/2010
POS,2,03/01/2010
POS,3,04/01/2010
POS,6,05/01/2010
POS,5,07/01/2010
POS,2,08/01/2010
POS,4,09/01/2010
POS,8,10/01/2010
POS,2,11/01/2010
POS,1,12/01/2010
POS,0,01/01/2011
POS,2,03/01/2011
POS,6,04/01/2011
POS,5,05/01/2011
POS,5,06/01/2011
POS,6,07/01/2011
POS,4,08/01/2011
POS,9,09/01/2011
POS,7,10/01/2011
POS,3,11/01/2011
POS,5,12/01/2011
POS,5,01/01/2012
POS,7,02/01/2012
POS,5,03/01/2012
POS,8,04/01/2012
POS,18,05/01/2012
POS,19,06/01/2012
POS,15,07/01/2012
POS,19,08/01/2012
POS,18,09/01/2012
POS,18,10/01/2012
POS,17,11/01/2012
POS,5,12/01/2012
NEG,0,04/01/2009
NEG,0,05/01/2009
NEG,2,06/01/2009
NEG,0,07/01/2009
NEG,0,08/01/2009
NEG,1,09/01/2009
NEG,0,10/01/2009
NEG,0,11/01/2009
NEG,0,12/01/2009
NEG,1,02/01/2010
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,0,05/01/2010
NEG,1,07/01/2010
NEG,2,08/01/2010
NEG,4,09/01/2010
NEG,1,10/01/2010
NEG,2,11/01/2010
NEG,1,12/01/2010
NEG,1,01/01/2011
NEG,1,03/01/2011
NEG,2,04/01/2011
NEG,1,05/01/2011
NEG,0,06/01/2011
NEG,0,07/01/2011
NEG,4,08/01/2011
NEG,2,09/01/2011
NEG,1,10/01/2011
NEG,0,11/01/2011
NEG,1,12/01/2011
NEG,1,01/01/2012
NEG,0,02/01/2012
NEG,1,03/01/2012
NEG,1,04/01/2012
NEG,1,05/01/2012
NEG,0,06/01/2012
NEG,3,07/01/2012
NEG,2,08/01/2012
NEG,2,09/01/2012
NEG,2,10/01/2012
NEG,3,11/01/2012
NEG,0,12/01/2012
