label,count,month
POS,4,09/01/2011
POS,14,10/01/2011
POS,16,11/01/2011
POS,9,12/01/2011
POS,18,01/01/2012
POS,16,02/01/2012
POS,28,03/01/2012
POS,32,04/01/2012
POS,22,05/01/2012
POS,15,06/01/2012
POS,32,07/01/2012
POS,15,08/01/2012
POS,13,09/01/2012
POS,12,10/01/2012
POS,15,11/01/2012
POS,5,12/01/2012
NEG,0,09/01/2011
NEG,2,10/01/2011
NEG,5,11/01/2011
NEG,1,12/01/2011
NEG,4,01/01/2012
NEG,4,02/01/2012
NEG,4,03/01/2012
NEG,4,04/01/2012
NEG,3,05/01/2012
NEG,2,06/01/2012
NEG,0,07/01/2012
NEG,3,08/01/2012
NEG,7,09/01/2012
NEG,0,10/01/2012
NEG,4,11/01/2012
NEG,0,12/01/2012
