label,count,month
POS,2,03/01/2010
POS,15,04/01/2010
POS,11,05/01/2010
POS,13,06/01/2010
POS,24,07/01/2010
POS,49,08/01/2010
POS,30,09/01/2010
POS,26,10/01/2010
POS,19,11/01/2010
POS,13,12/01/2010
POS,15,01/01/2011
POS,21,02/01/2011
POS,29,03/01/2011
POS,19,04/01/2011
POS,13,05/01/2011
POS,14,06/01/2011
POS,42,07/01/2011
POS,51,08/01/2011
POS,50,09/01/2011
POS,25,10/01/2011
POS,19,11/01/2011
POS,43,12/01/2011
POS,62,01/01/2012
POS,41,02/01/2012
POS,41,03/01/2012
POS,48,04/01/2012
POS,41,05/01/2012
POS,34,06/01/2012
POS,44,07/01/2012
POS,27,08/01/2012
POS,35,09/01/2012
POS,31,10/01/2012
POS,29,11/01/2012
POS,14,12/01/2012
NEG,1,03/01/2010
NEG,0,04/01/2010
NEG,0,05/01/2010
NEG,1,06/01/2010
NEG,0,07/01/2010
NEG,5,08/01/2010
NEG,1,09/01/2010
NEG,3,10/01/2010
NEG,0,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,2,03/01/2011
NEG,0,04/01/2011
NEG,1,05/01/2011
NEG,1,06/01/2011
NEG,2,07/01/2011
NEG,4,08/01/2011
NEG,2,09/01/2011
NEG,0,10/01/2011
NEG,2,11/01/2011
NEG,2,12/01/2011
NEG,3,01/01/2012
NEG,2,02/01/2012
NEG,2,03/01/2012
NEG,1,04/01/2012
NEG,1,05/01/2012
NEG,2,06/01/2012
NEG,0,07/01/2012
NEG,7,08/01/2012
NEG,2,09/01/2012
NEG,2,10/01/2012
NEG,3,11/01/2012
NEG,0,12/01/2012
