key,value,date
POS,10,11/01/2011
POS,36,12/01/2011
POS,24,01/01/2012
POS,17,02/01/2012
POS,23,03/01/2012
POS,27,04/01/2012
POS,26,05/01/2012
POS,27,06/01/2012
POS,44,07/01/2012
POS,48,08/01/2012
POS,48,09/01/2012
POS,34,10/01/2012
POS,25,11/01/2012
POS,13,12/01/2012
NEG,1,11/01/2011
NEG,2,12/01/2011
NEG,2,01/01/2012
NEG,0,02/01/2012
NEG,2,03/01/2012
NEG,3,04/01/2012
NEG,0,05/01/2012
NEG,1,06/01/2012
NEG,3,07/01/2012
NEG,1,08/01/2012
NEG,3,09/01/2012
NEG,8,10/01/2012
NEG,4,11/01/2012
NEG,4,12/01/2012
