key,value,date
POS,1,07/01/2002
POS,2,12/01/2002
POS,0,01/01/2003
POS,1,02/01/2003
POS,0,03/01/2003
POS,2,05/01/2003
POS,5,06/01/2003
POS,0,08/01/2003
POS,2,09/01/2003
POS,1,11/01/2003
POS,2,12/01/2003
POS,1,02/01/2004
POS,0,03/01/2004
POS,1,04/01/2004
POS,2,06/01/2004
POS,3,07/01/2004
POS,8,08/01/2004
POS,2,09/01/2004
POS,3,10/01/2004
POS,2,11/01/2004
POS,5,12/01/2004
POS,3,01/01/2005
POS,1,02/01/2005
POS,3,03/01/2005
POS,4,04/01/2005
POS,3,05/01/2005
POS,5,06/01/2005
POS,3,07/01/2005
POS,6,08/01/2005
POS,2,09/01/2005
POS,6,10/01/2005
POS,1,11/01/2005
POS,1,12/01/2005
POS,4,01/01/2006
POS,1,02/01/2006
POS,2,03/01/2006
POS,2,04/01/2006
POS,2,05/01/2006
POS,1,06/01/2006
POS,4,07/01/2006
POS,5,08/01/2006
POS,6,09/01/2006
POS,5,10/01/2006
POS,1,11/01/2006
POS,3,01/01/2007
POS,1,02/01/2007
POS,4,03/01/2007
POS,11,04/01/2007
POS,5,05/01/2007
POS,2,06/01/2007
POS,4,07/01/2007
POS,1,08/01/2007
POS,12,09/01/2007
POS,2,10/01/2007
POS,5,11/01/2007
POS,3,12/01/2007
POS,4,01/01/2008
POS,4,02/01/2008
POS,3,03/01/2008
POS,3,04/01/2008
POS,4,05/01/2008
POS,9,06/01/2008
POS,7,07/01/2008
POS,14,08/01/2008
POS,8,09/01/2008
POS,3,10/01/2008
POS,3,11/01/2008
POS,3,12/01/2008
POS,5,01/01/2009
POS,5,02/01/2009
POS,0,03/01/2009
POS,6,04/01/2009
POS,7,05/01/2009
POS,12,06/01/2009
POS,11,07/01/2009
POS,10,08/01/2009
POS,7,09/01/2009
POS,12,10/01/2009
POS,6,11/01/2009
POS,10,12/01/2009
POS,7,01/01/2010
POS,7,02/01/2010
POS,7,03/01/2010
POS,15,04/01/2010
POS,7,05/01/2010
POS,13,06/01/2010
POS,16,07/01/2010
POS,17,08/01/2010
POS,12,09/01/2010
POS,17,10/01/2010
POS,9,11/01/2010
POS,9,12/01/2010
POS,8,01/01/2011
POS,7,02/01/2011
POS,15,03/01/2011
POS,9,04/01/2011
POS,10,05/01/2011
POS,22,06/01/2011
POS,30,07/01/2011
POS,22,08/01/2011
POS,30,09/01/2011
POS,33,10/01/2011
POS,32,11/01/2011
POS,20,12/01/2011
POS,27,01/01/2012
POS,29,02/01/2012
POS,14,03/01/2012
POS,36,04/01/2012
POS,36,05/01/2012
POS,39,06/01/2012
POS,105,07/01/2012
POS,114,08/01/2012
POS,91,09/01/2012
POS,72,10/01/2012
POS,68,11/01/2012
POS,28,12/01/2012
NEG,0,07/01/2002
NEG,1,12/01/2002
NEG,1,01/01/2003
NEG,0,02/01/2003
NEG,1,03/01/2003
NEG,1,05/01/2003
NEG,1,06/01/2003
NEG,1,08/01/2003
NEG,0,09/01/2003
NEG,0,11/01/2003
NEG,0,12/01/2003
NEG,0,02/01/2004
NEG,2,03/01/2004
NEG,0,04/01/2004
NEG,2,06/01/2004
NEG,1,07/01/2004
NEG,0,08/01/2004
NEG,0,09/01/2004
NEG,1,10/01/2004
NEG,1,11/01/2004
NEG,0,12/01/2004
NEG,1,01/01/2005
NEG,0,02/01/2005
NEG,1,03/01/2005
NEG,1,04/01/2005
NEG,0,05/01/2005
NEG,1,06/01/2005
NEG,1,07/01/2005
NEG,1,08/01/2005
NEG,1,09/01/2005
NEG,3,10/01/2005
NEG,1,11/01/2005
NEG,0,12/01/2005
NEG,1,01/01/2006
NEG,1,02/01/2006
NEG,0,03/01/2006
NEG,0,04/01/2006
NEG,3,05/01/2006
NEG,1,06/01/2006
NEG,2,07/01/2006
NEG,2,08/01/2006
NEG,0,09/01/2006
NEG,2,10/01/2006
NEG,0,11/01/2006
NEG,0,01/01/2007
NEG,1,02/01/2007
NEG,1,03/01/2007
NEG,2,04/01/2007
NEG,1,05/01/2007
NEG,0,06/01/2007
NEG,1,07/01/2007
NEG,1,08/01/2007
NEG,1,09/01/2007
NEG,2,10/01/2007
NEG,2,11/01/2007
NEG,0,12/01/2007
NEG,0,01/01/2008
NEG,1,02/01/2008
NEG,1,03/01/2008
NEG,2,04/01/2008
NEG,4,05/01/2008
NEG,2,06/01/2008
NEG,1,07/01/2008
NEG,1,08/01/2008
NEG,3,09/01/2008
NEG,3,10/01/2008
NEG,0,11/01/2008
NEG,2,12/01/2008
NEG,6,01/01/2009
NEG,0,02/01/2009
NEG,2,03/01/2009
NEG,2,04/01/2009
NEG,1,05/01/2009
NEG,1,06/01/2009
NEG,5,07/01/2009
NEG,3,08/01/2009
NEG,1,09/01/2009
NEG,3,10/01/2009
NEG,1,11/01/2009
NEG,4,12/01/2009
NEG,3,01/01/2010
NEG,0,02/01/2010
NEG,3,03/01/2010
NEG,1,04/01/2010
NEG,1,05/01/2010
NEG,5,06/01/2010
NEG,3,07/01/2010
NEG,7,08/01/2010
NEG,8,09/01/2010
NEG,8,10/01/2010
NEG,6,11/01/2010
NEG,3,12/01/2010
NEG,5,01/01/2011
NEG,3,02/01/2011
NEG,5,03/01/2011
NEG,4,04/01/2011
NEG,5,05/01/2011
NEG,6,06/01/2011
NEG,6,07/01/2011
NEG,4,08/01/2011
NEG,6,09/01/2011
NEG,6,10/01/2011
NEG,6,11/01/2011
NEG,12,12/01/2011
NEG,9,01/01/2012
NEG,9,02/01/2012
NEG,8,03/01/2012
NEG,6,04/01/2012
NEG,6,05/01/2012
NEG,10,06/01/2012
NEG,10,07/01/2012
NEG,8,08/01/2012
NEG,9,09/01/2012
NEG,6,10/01/2012
NEG,6,11/01/2012
NEG,6,12/01/2012
