key,value,date
POS,1,12/01/2002
POS,1,02/01/2003
POS,3,04/01/2003
POS,1,06/01/2003
POS,1,07/01/2003
POS,3,08/01/2003
POS,2,09/01/2003
POS,2,10/01/2003
POS,2,11/01/2003
POS,1,12/01/2003
POS,4,01/01/2004
POS,1,04/01/2004
POS,3,05/01/2004
POS,2,06/01/2004
POS,6,07/01/2004
POS,3,08/01/2004
POS,4,09/01/2004
POS,1,10/01/2004
POS,3,11/01/2004
POS,1,12/01/2004
POS,3,01/01/2005
POS,5,02/01/2005
POS,6,03/01/2005
POS,3,04/01/2005
POS,8,05/01/2005
POS,6,06/01/2005
POS,11,07/01/2005
POS,16,08/01/2005
POS,5,09/01/2005
POS,3,10/01/2005
POS,3,11/01/2005
POS,3,12/01/2005
POS,5,01/01/2006
POS,4,02/01/2006
POS,5,03/01/2006
POS,7,04/01/2006
POS,6,05/01/2006
POS,4,06/01/2006
POS,2,07/01/2006
POS,3,08/01/2006
POS,2,09/01/2006
POS,4,10/01/2006
POS,3,11/01/2006
POS,3,12/01/2006
POS,8,01/01/2007
POS,4,02/01/2007
POS,2,03/01/2007
POS,8,04/01/2007
POS,9,05/01/2007
POS,4,06/01/2007
POS,15,07/01/2007
POS,15,08/01/2007
POS,7,09/01/2007
POS,10,10/01/2007
POS,6,11/01/2007
POS,5,12/01/2007
POS,9,01/01/2008
POS,5,02/01/2008
POS,14,03/01/2008
POS,7,04/01/2008
POS,8,05/01/2008
POS,5,06/01/2008
POS,12,07/01/2008
POS,14,08/01/2008
POS,5,09/01/2008
POS,9,10/01/2008
POS,9,11/01/2008
POS,6,12/01/2008
POS,4,01/01/2009
POS,8,02/01/2009
POS,9,03/01/2009
POS,10,04/01/2009
POS,9,05/01/2009
POS,7,06/01/2009
POS,22,07/01/2009
POS,26,08/01/2009
POS,11,09/01/2009
POS,17,10/01/2009
POS,6,11/01/2009
POS,12,12/01/2009
POS,7,01/01/2010
POS,5,02/01/2010
POS,9,03/01/2010
POS,13,04/01/2010
POS,4,05/01/2010
POS,18,06/01/2010
POS,17,07/01/2010
POS,15,08/01/2010
POS,16,09/01/2010
POS,12,10/01/2010
POS,10,11/01/2010
POS,13,12/01/2010
POS,6,01/01/2011
POS,9,02/01/2011
POS,7,03/01/2011
POS,16,04/01/2011
POS,23,05/01/2011
POS,28,06/01/2011
POS,33,07/01/2011
POS,25,08/01/2011
POS,27,09/01/2011
POS,19,10/01/2011
POS,15,11/01/2011
POS,17,12/01/2011
POS,17,01/01/2012
POS,20,02/01/2012
POS,23,03/01/2012
POS,33,04/01/2012
POS,16,05/01/2012
POS,12,06/01/2012
POS,32,07/01/2012
POS,36,08/01/2012
POS,26,09/01/2012
POS,24,10/01/2012
POS,28,11/01/2012
POS,25,12/01/2012
NEG,0,12/01/2002
NEG,0,02/01/2003
NEG,0,04/01/2003
NEG,0,06/01/2003
NEG,0,07/01/2003
NEG,0,08/01/2003
NEG,0,09/01/2003
NEG,0,10/01/2003
NEG,0,11/01/2003
NEG,1,12/01/2003
NEG,0,01/01/2004
NEG,0,04/01/2004
NEG,0,05/01/2004
NEG,0,06/01/2004
NEG,0,07/01/2004
NEG,1,08/01/2004
NEG,0,09/01/2004
NEG,0,10/01/2004
NEG,0,11/01/2004
NEG,0,12/01/2004
NEG,1,01/01/2005
NEG,0,02/01/2005
NEG,0,03/01/2005
NEG,0,04/01/2005
NEG,0,05/01/2005
NEG,0,06/01/2005
NEG,0,07/01/2005
NEG,1,08/01/2005
NEG,0,09/01/2005
NEG,0,10/01/2005
NEG,0,11/01/2005
NEG,0,12/01/2005
NEG,1,01/01/2006
NEG,0,02/01/2006
NEG,0,03/01/2006
NEG,0,04/01/2006
NEG,0,05/01/2006
NEG,0,06/01/2006
NEG,0,07/01/2006
NEG,0,08/01/2006
NEG,0,09/01/2006
NEG,0,10/01/2006
NEG,0,11/01/2006
NEG,0,12/01/2006
NEG,0,01/01/2007
NEG,1,02/01/2007
NEG,0,03/01/2007
NEG,0,04/01/2007
NEG,3,05/01/2007
NEG,0,06/01/2007
NEG,0,07/01/2007
NEG,0,08/01/2007
NEG,2,09/01/2007
NEG,2,10/01/2007
NEG,0,11/01/2007
NEG,0,12/01/2007
NEG,1,01/01/2008
NEG,0,02/01/2008
NEG,2,03/01/2008
NEG,1,04/01/2008
NEG,3,05/01/2008
NEG,0,06/01/2008
NEG,4,07/01/2008
NEG,2,08/01/2008
NEG,3,09/01/2008
NEG,2,10/01/2008
NEG,0,11/01/2008
NEG,1,12/01/2008
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,1,03/01/2009
NEG,2,04/01/2009
NEG,2,05/01/2009
NEG,1,06/01/2009
NEG,2,07/01/2009
NEG,5,08/01/2009
NEG,4,09/01/2009
NEG,0,10/01/2009
NEG,4,11/01/2009
NEG,3,12/01/2009
NEG,0,01/01/2010
NEG,3,02/01/2010
NEG,1,03/01/2010
NEG,3,04/01/2010
NEG,0,05/01/2010
NEG,4,06/01/2010
NEG,4,07/01/2010
NEG,1,08/01/2010
NEG,6,09/01/2010
NEG,2,10/01/2010
NEG,2,11/01/2010
NEG,1,12/01/2010
NEG,3,01/01/2011
NEG,2,02/01/2011
NEG,1,03/01/2011
NEG,2,04/01/2011
NEG,3,05/01/2011
NEG,1,06/01/2011
NEG,5,07/01/2011
NEG,4,08/01/2011
NEG,2,09/01/2011
NEG,2,10/01/2011
NEG,1,11/01/2011
NEG,5,12/01/2011
NEG,0,01/01/2012
NEG,4,02/01/2012
NEG,3,03/01/2012
NEG,4,04/01/2012
NEG,3,05/01/2012
NEG,0,06/01/2012
NEG,4,07/01/2012
NEG,4,08/01/2012
NEG,5,09/01/2012
NEG,5,10/01/2012
NEG,3,11/01/2012
NEG,9,12/01/2012
