key,value,date
POS,1,08/01/2002
POS,0,09/01/2002
POS,1,11/01/2002
POS,1,12/01/2002
POS,0,01/01/2003
POS,1,03/01/2003
POS,1,05/01/2003
POS,0,06/01/2003
POS,8,07/01/2003
POS,5,08/01/2003
POS,1,09/01/2003
POS,4,10/01/2003
POS,2,11/01/2003
POS,4,12/01/2003
POS,5,01/01/2004
POS,1,02/01/2004
POS,3,03/01/2004
POS,1,04/01/2004
POS,4,05/01/2004
POS,4,06/01/2004
POS,3,07/01/2004
POS,7,08/01/2004
POS,3,09/01/2004
POS,4,10/01/2004
POS,7,11/01/2004
POS,4,12/01/2004
POS,2,01/01/2005
POS,6,02/01/2005
POS,3,03/01/2005
POS,2,04/01/2005
POS,3,05/01/2005
POS,4,06/01/2005
POS,7,07/01/2005
POS,6,08/01/2005
POS,4,09/01/2005
POS,7,10/01/2005
POS,6,11/01/2005
POS,4,12/01/2005
POS,5,01/01/2006
POS,3,02/01/2006
POS,8,03/01/2006
POS,4,04/01/2006
POS,5,05/01/2006
POS,13,06/01/2006
POS,8,07/01/2006
POS,4,08/01/2006
POS,5,09/01/2006
POS,5,10/01/2006
POS,9,11/01/2006
POS,6,12/01/2006
POS,6,01/01/2007
POS,1,02/01/2007
POS,9,03/01/2007
POS,4,04/01/2007
POS,8,05/01/2007
POS,5,06/01/2007
POS,10,07/01/2007
POS,8,08/01/2007
POS,12,09/01/2007
POS,14,10/01/2007
POS,10,11/01/2007
POS,7,12/01/2007
POS,6,01/01/2008
POS,4,02/01/2008
POS,11,03/01/2008
POS,12,04/01/2008
POS,11,05/01/2008
POS,15,06/01/2008
POS,13,07/01/2008
POS,12,08/01/2008
POS,16,09/01/2008
POS,13,10/01/2008
POS,7,11/01/2008
POS,10,12/01/2008
POS,11,01/01/2009
POS,8,02/01/2009
POS,5,03/01/2009
POS,13,04/01/2009
POS,14,05/01/2009
POS,24,06/01/2009
POS,22,07/01/2009
POS,24,08/01/2009
POS,21,09/01/2009
POS,30,10/01/2009
POS,17,11/01/2009
POS,17,12/01/2009
POS,10,01/01/2010
POS,10,02/01/2010
POS,11,03/01/2010
POS,15,04/01/2010
POS,13,05/01/2010
POS,24,06/01/2010
POS,17,07/01/2010
POS,30,08/01/2010
POS,20,09/01/2010
POS,21,10/01/2010
POS,21,11/01/2010
POS,25,12/01/2010
POS,23,01/01/2011
POS,21,02/01/2011
POS,23,03/01/2011
POS,22,04/01/2011
POS,24,05/01/2011
POS,48,06/01/2011
POS,80,07/01/2011
POS,84,08/01/2011
POS,76,09/01/2011
POS,64,10/01/2011
POS,56,11/01/2011
POS,42,12/01/2011
POS,37,01/01/2012
POS,32,02/01/2012
POS,39,03/01/2012
POS,46,04/01/2012
POS,65,05/01/2012
POS,60,06/01/2012
POS,87,07/01/2012
POS,94,08/01/2012
POS,67,09/01/2012
POS,73,10/01/2012
POS,67,11/01/2012
POS,24,12/01/2012
NEG,0,08/01/2002
NEG,1,09/01/2002
NEG,0,11/01/2002
NEG,0,12/01/2002
NEG,1,01/01/2003
NEG,0,03/01/2003
NEG,0,05/01/2003
NEG,1,06/01/2003
NEG,1,07/01/2003
NEG,1,08/01/2003
NEG,3,09/01/2003
NEG,2,10/01/2003
NEG,0,11/01/2003
NEG,2,12/01/2003
NEG,0,01/01/2004
NEG,0,02/01/2004
NEG,0,03/01/2004
NEG,0,04/01/2004
NEG,2,05/01/2004
NEG,1,06/01/2004
NEG,1,07/01/2004
NEG,2,08/01/2004
NEG,1,09/01/2004
NEG,0,10/01/2004
NEG,4,11/01/2004
NEG,0,12/01/2004
NEG,0,01/01/2005
NEG,1,02/01/2005
NEG,2,03/01/2005
NEG,3,04/01/2005
NEG,1,05/01/2005
NEG,1,06/01/2005
NEG,1,07/01/2005
NEG,1,08/01/2005
NEG,0,09/01/2005
NEG,1,10/01/2005
NEG,0,11/01/2005
NEG,0,12/01/2005
NEG,0,01/01/2006
NEG,0,02/01/2006
NEG,1,03/01/2006
NEG,3,04/01/2006
NEG,3,05/01/2006
NEG,0,06/01/2006
NEG,2,07/01/2006
NEG,2,08/01/2006
NEG,1,09/01/2006
NEG,0,10/01/2006
NEG,2,11/01/2006
NEG,1,12/01/2006
NEG,2,01/01/2007
NEG,1,02/01/2007
NEG,2,03/01/2007
NEG,3,04/01/2007
NEG,1,05/01/2007
NEG,1,06/01/2007
NEG,5,07/01/2007
NEG,4,08/01/2007
NEG,3,09/01/2007
NEG,2,10/01/2007
NEG,2,11/01/2007
NEG,4,12/01/2007
NEG,5,01/01/2008
NEG,3,02/01/2008
NEG,3,03/01/2008
NEG,3,04/01/2008
NEG,2,05/01/2008
NEG,3,06/01/2008
NEG,3,07/01/2008
NEG,6,08/01/2008
NEG,5,09/01/2008
NEG,3,10/01/2008
NEG,5,11/01/2008
NEG,10,12/01/2008
NEG,1,01/01/2009
NEG,3,02/01/2009
NEG,1,03/01/2009
NEG,4,04/01/2009
NEG,6,05/01/2009
NEG,6,06/01/2009
NEG,6,07/01/2009
NEG,8,08/01/2009
NEG,6,09/01/2009
NEG,10,10/01/2009
NEG,2,11/01/2009
NEG,7,12/01/2009
NEG,3,01/01/2010
NEG,3,02/01/2010
NEG,5,03/01/2010
NEG,7,04/01/2010
NEG,3,05/01/2010
NEG,6,06/01/2010
NEG,8,07/01/2010
NEG,11,08/01/2010
NEG,5,09/01/2010
NEG,8,10/01/2010
NEG,8,11/01/2010
NEG,6,12/01/2010
NEG,4,01/01/2011
NEG,5,02/01/2011
NEG,8,03/01/2011
NEG,7,04/01/2011
NEG,7,05/01/2011
NEG,7,06/01/2011
NEG,25,07/01/2011
NEG,17,08/01/2011
NEG,18,09/01/2011
NEG,19,10/01/2011
NEG,13,11/01/2011
NEG,10,12/01/2011
NEG,14,01/01/2012
NEG,7,02/01/2012
NEG,6,03/01/2012
NEG,10,04/01/2012
NEG,16,05/01/2012
NEG,13,06/01/2012
NEG,13,07/01/2012
NEG,18,08/01/2012
NEG,23,09/01/2012
NEG,24,10/01/2012
NEG,15,11/01/2012
NEG,8,12/01/2012
