label,count,month
POS,1,01/01/2008
POS,2,03/01/2008
POS,2,04/01/2008
POS,6,05/01/2008
POS,8,06/01/2008
POS,9,07/01/2008
POS,7,08/01/2008
POS,7,09/01/2008
POS,4,10/01/2008
POS,5,11/01/2008
POS,4,12/01/2008
POS,4,01/01/2009
POS,6,02/01/2009
POS,1,03/01/2009
POS,6,04/01/2009
POS,8,05/01/2009
POS,7,06/01/2009
POS,7,07/01/2009
POS,7,08/01/2009
POS,5,09/01/2009
POS,8,10/01/2009
POS,8,11/01/2009
POS,4,12/01/2009
POS,1,01/01/2010
POS,8,02/01/2010
POS,4,03/01/2010
POS,6,04/01/2010
POS,9,05/01/2010
POS,10,06/01/2010
POS,20,07/01/2010
POS,10,08/01/2010
POS,7,09/01/2010
POS,13,10/01/2010
POS,8,11/01/2010
POS,4,12/01/2010
POS,8,01/01/2011
POS,5,02/01/2011
POS,6,03/01/2011
POS,7,04/01/2011
POS,10,05/01/2011
POS,15,06/01/2011
POS,25,07/01/2011
POS,18,08/01/2011
POS,23,09/01/2011
POS,17,10/01/2011
POS,13,11/01/2011
POS,11,12/01/2011
POS,23,01/01/2012
POS,17,02/01/2012
POS,23,03/01/2012
POS,29,04/01/2012
POS,14,05/01/2012
POS,23,06/01/2012
POS,35,07/01/2012
POS,29,08/01/2012
POS,20,09/01/2012
POS,25,10/01/2012
POS,20,11/01/2012
POS,8,12/01/2012
NEG,0,01/01/2008
NEG,0,03/01/2008
NEG,0,04/01/2008
NEG,0,05/01/2008
NEG,0,06/01/2008
NEG,0,07/01/2008
NEG,3,08/01/2008
NEG,1,09/01/2008
NEG,2,10/01/2008
NEG,0,11/01/2008
NEG,1,12/01/2008
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,1,03/01/2009
NEG,0,04/01/2009
NEG,1,05/01/2009
NEG,2,06/01/2009
NEG,0,07/01/2009
NEG,1,08/01/2009
NEG,0,09/01/2009
NEG,0,10/01/2009
NEG,1,11/01/2009
NEG,4,12/01/2009
NEG,1,01/01/2010
NEG,0,02/01/2010
NEG,2,03/01/2010
NEG,0,04/01/2010
NEG,3,05/01/2010
NEG,1,06/01/2010
NEG,3,07/01/2010
NEG,0,08/01/2010
NEG,2,09/01/2010
NEG,1,10/01/2010
NEG,2,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,1,02/01/2011
NEG,1,03/01/2011
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,1,06/01/2011
NEG,3,07/01/2011
NEG,2,08/01/2011
NEG,2,09/01/2011
NEG,2,10/01/2011
NEG,0,11/01/2011
NEG,3,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,0,03/01/2012
NEG,2,04/01/2012
NEG,1,05/01/2012
NEG,3,06/01/2012
NEG,1,07/01/2012
NEG,6,08/01/2012
NEG,4,09/01/2012
NEG,2,10/01/2012
NEG,3,11/01/2012
NEG,1,12/01/2012
