key,value,date
POS,4,12/01/2009
POS,1,01/01/2010
POS,5,02/01/2010
POS,2,03/01/2010
POS,4,04/01/2010
POS,6,05/01/2010
POS,2,06/01/2010
POS,4,07/01/2010
POS,11,08/01/2010
POS,11,09/01/2010
POS,16,10/01/2010
POS,28,11/01/2010
POS,14,12/01/2010
POS,16,01/01/2011
POS,26,02/01/2011
POS,24,03/01/2011
POS,21,04/01/2011
POS,19,05/01/2011
POS,30,06/01/2011
POS,38,07/01/2011
POS,22,08/01/2011
POS,25,09/01/2011
POS,21,10/01/2011
POS,18,11/01/2011
POS,17,12/01/2011
POS,23,01/01/2012
POS,20,02/01/2012
POS,20,03/01/2012
POS,21,04/01/2012
POS,20,05/01/2012
POS,21,06/01/2012
POS,34,07/01/2012
POS,31,08/01/2012
POS,28,09/01/2012
POS,18,10/01/2012
POS,15,11/01/2012
POS,15,12/01/2012
NEG,1,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,0,05/01/2010
NEG,0,06/01/2010
NEG,0,07/01/2010
NEG,0,08/01/2010
NEG,0,09/01/2010
NEG,0,10/01/2010
NEG,0,11/01/2010
NEG,2,12/01/2010
NEG,1,01/01/2011
NEG,1,02/01/2011
NEG,2,03/01/2011
NEG,1,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,1,07/01/2011
NEG,1,08/01/2011
NEG,1,09/01/2011
NEG,0,10/01/2011
NEG,1,11/01/2011
NEG,2,12/01/2011
NEG,1,01/01/2012
NEG,2,02/01/2012
NEG,1,03/01/2012
NEG,4,04/01/2012
NEG,0,05/01/2012
NEG,3,06/01/2012
NEG,2,07/01/2012
NEG,2,08/01/2012
NEG,2,09/01/2012
NEG,1,10/01/2012
NEG,4,11/01/2012
NEG,0,12/01/2012
