key,value,date
POS,7,06/01/2009
POS,8,07/01/2009
POS,9,08/01/2009
POS,17,09/01/2009
POS,7,10/01/2009
POS,9,11/01/2009
POS,12,12/01/2009
POS,5,01/01/2010
POS,6,02/01/2010
POS,9,03/01/2010
POS,4,04/01/2010
POS,9,05/01/2010
POS,5,06/01/2010
POS,14,07/01/2010
POS,7,08/01/2010
POS,3,09/01/2010
POS,10,10/01/2010
POS,13,11/01/2010
POS,11,12/01/2010
POS,12,01/01/2011
POS,12,02/01/2011
POS,11,03/01/2011
POS,7,04/01/2011
POS,7,05/01/2011
POS,11,06/01/2011
POS,18,07/01/2011
POS,21,08/01/2011
POS,26,09/01/2011
POS,16,10/01/2011
POS,17,11/01/2011
POS,20,12/01/2011
POS,15,01/01/2012
POS,16,02/01/2012
POS,11,03/01/2012
POS,15,04/01/2012
POS,12,05/01/2012
POS,23,06/01/2012
POS,36,07/01/2012
POS,18,08/01/2012
POS,17,09/01/2012
POS,32,10/01/2012
POS,21,11/01/2012
POS,9,12/01/2012
NEG,0,06/01/2009
NEG,0,07/01/2009
NEG,3,08/01/2009
NEG,0,09/01/2009
NEG,1,10/01/2009
NEG,3,11/01/2009
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,1,02/01/2010
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,2,05/01/2010
NEG,2,06/01/2010
NEG,3,07/01/2010
NEG,1,08/01/2010
NEG,1,09/01/2010
NEG,0,10/01/2010
NEG,0,11/01/2010
NEG,1,12/01/2010
NEG,1,01/01/2011
NEG,1,02/01/2011
NEG,1,03/01/2011
NEG,3,04/01/2011
NEG,0,05/01/2011
NEG,1,06/01/2011
NEG,1,07/01/2011
NEG,3,08/01/2011
NEG,5,09/01/2011
NEG,3,10/01/2011
NEG,1,11/01/2011
NEG,3,12/01/2011
NEG,3,01/01/2012
NEG,1,02/01/2012
NEG,0,03/01/2012
NEG,2,04/01/2012
NEG,2,05/01/2012
NEG,3,06/01/2012
NEG,1,07/01/2012
NEG,2,08/01/2012
NEG,4,09/01/2012
NEG,1,10/01/2012
NEG,1,11/01/2012
NEG,1,12/01/2012
