key,value,date
POS,1,08/01/2005
POS,1,10/01/2007
POS,1,01/01/2010
POS,1,04/01/2010
POS,0,07/01/2010
POS,1,08/01/2010
POS,1,09/01/2010
POS,1,11/01/2010
POS,0,12/01/2010
POS,0,04/01/2011
POS,1,07/01/2011
POS,1,08/01/2011
POS,2,10/01/2011
POS,1,11/01/2011
POS,1,04/01/2012
POS,2,05/01/2012
POS,3,07/01/2012
POS,13,09/01/2012
POS,14,10/01/2012
POS,4,11/01/2012
POS,1,12/01/2012
NEG,0,08/01/2005
NEG,0,10/01/2007
NEG,1,01/01/2010
NEG,0,04/01/2010
NEG,1,07/01/2010
NEG,0,08/01/2010
NEG,0,09/01/2010
NEG,1,11/01/2010
NEG,1,12/01/2010
NEG,1,04/01/2011
NEG,0,07/01/2011
NEG,0,08/01/2011
NEG,0,10/01/2011
NEG,0,11/01/2011
NEG,0,04/01/2012
NEG,0,05/01/2012
NEG,0,07/01/2012
NEG,2,09/01/2012
NEG,3,10/01/2012
NEG,2,11/01/2012
NEG,1,12/01/2012
