key,value,date
POS,0,03/01/2008
POS,0,04/01/2008
POS,0,05/01/2008
POS,1,06/01/2008
POS,1,07/01/2008
POS,0,08/01/2008
POS,1,09/01/2008
POS,0,11/01/2008
POS,0,02/01/2009
POS,0,07/01/2009
POS,1,08/01/2009
POS,1,09/01/2009
POS,1,02/01/2010
POS,1,03/01/2010
POS,2,04/01/2010
POS,1,05/01/2010
POS,0,06/01/2010
POS,0,08/01/2010
POS,1,02/01/2011
POS,1,03/01/2011
POS,1,06/01/2011
POS,3,07/01/2011
POS,1,08/01/2011
POS,4,09/01/2011
POS,3,10/01/2011
POS,7,11/01/2011
POS,6,12/01/2011
POS,6,01/01/2012
POS,6,02/01/2012
POS,4,03/01/2012
POS,2,04/01/2012
POS,3,05/01/2012
POS,2,06/01/2012
POS,3,07/01/2012
POS,3,08/01/2012
POS,5,09/01/2012
POS,20,10/01/2012
POS,11,11/01/2012
POS,4,12/01/2012
NEG,1,03/01/2008
NEG,1,04/01/2008
NEG,1,05/01/2008
NEG,0,06/01/2008
NEG,0,07/01/2008
NEG,1,08/01/2008
NEG,1,09/01/2008
NEG,1,11/01/2008
NEG,2,02/01/2009
NEG,1,07/01/2009
NEG,1,08/01/2009
NEG,0,09/01/2009
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,0,05/01/2010
NEG,1,06/01/2010
NEG,1,08/01/2010
NEG,0,02/01/2011
NEG,4,03/01/2011
NEG,4,06/01/2011
NEG,0,07/01/2011
NEG,2,08/01/2011
NEG,0,09/01/2011
NEG,0,10/01/2011
NEG,1,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,2,02/01/2012
NEG,2,03/01/2012
NEG,0,04/01/2012
NEG,1,05/01/2012
NEG,2,06/01/2012
NEG,4,07/01/2012
NEG,2,08/01/2012
NEG,11,09/01/2012
NEG,8,10/01/2012
NEG,13,11/01/2012
NEG,2,12/01/2012
