key,value,date
POS,2,09/01/2011
POS,3,10/01/2011
POS,2,11/01/2011
POS,4,12/01/2011
POS,3,01/01/2012
POS,7,02/01/2012
POS,4,03/01/2012
POS,4,04/01/2012
POS,2,05/01/2012
POS,5,06/01/2012
POS,5,07/01/2012
POS,5,08/01/2012
POS,4,09/01/2012
POS,3,10/01/2012
POS,4,11/01/2012
POS,1,12/01/2012
NEG,1,09/01/2011
NEG,2,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,1,02/01/2012
NEG,1,03/01/2012
NEG,4,04/01/2012
NEG,1,05/01/2012
NEG,0,06/01/2012
NEG,0,07/01/2012
NEG,3,08/01/2012
NEG,1,09/01/2012
NEG,3,10/01/2012
NEG,2,11/01/2012
NEG,1,12/01/2012
