key,value,date
POS,3,09/01/2011
POS,2,10/01/2011
POS,5,11/01/2011
POS,2,12/01/2011
POS,5,01/01/2012
POS,1,02/01/2012
POS,2,03/01/2012
POS,3,04/01/2012
POS,4,05/01/2012
POS,3,06/01/2012
POS,4,07/01/2012
POS,5,08/01/2012
POS,6,09/01/2012
POS,0,10/01/2012
POS,2,11/01/2012
POS,1,12/01/2012
NEG,0,09/01/2011
NEG,1,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,1,02/01/2012
NEG,0,03/01/2012
NEG,1,04/01/2012
NEG,0,05/01/2012
NEG,0,06/01/2012
NEG,0,07/01/2012
NEG,3,08/01/2012
NEG,0,09/01/2012
NEG,1,10/01/2012
NEG,1,11/01/2012
NEG,2,12/01/2012
