label,count,month
POS,1,08/01/2010
POS,1,11/01/2010
POS,2,12/01/2010
POS,3,01/01/2011
POS,2,02/01/2011
POS,2,03/01/2011
POS,7,04/01/2011
POS,2,05/01/2011
POS,4,06/01/2011
POS,4,07/01/2011
POS,8,08/01/2011
POS,7,09/01/2011
POS,3,10/01/2011
POS,5,11/01/2011
POS,2,12/01/2011
POS,5,01/01/2012
POS,6,02/01/2012
POS,4,03/01/2012
POS,5,04/01/2012
POS,5,05/01/2012
POS,8,06/01/2012
POS,9,07/01/2012
POS,6,08/01/2012
POS,6,09/01/2012
POS,20,10/01/2012
POS,20,11/01/2012
POS,5,12/01/2012
NEG,0,08/01/2010
NEG,0,11/01/2010
NEG,1,12/01/2010
NEG,0,01/01/2011
NEG,1,02/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,0,07/01/2011
NEG,0,08/01/2011
NEG,0,09/01/2011
NEG,1,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,1,03/01/2012
NEG,1,04/01/2012
NEG,0,05/01/2012
NEG,1,06/01/2012
NEG,3,07/01/2012
NEG,1,08/01/2012
NEG,2,09/01/2012
NEG,1,10/01/2012
NEG,2,11/01/2012
NEG,1,12/01/2012
