label,count,month
POS,1,10/01/2010
POS,1,11/01/2010
POS,1,01/01/2011
POS,1,02/01/2011
POS,0,04/01/2011
POS,2,05/01/2011
POS,3,06/01/2011
POS,3,07/01/2011
POS,1,08/01/2011
POS,2,09/01/2011
POS,2,10/01/2011
POS,1,12/01/2011
POS,6,01/01/2012
POS,4,02/01/2012
POS,4,03/01/2012
POS,3,04/01/2012
POS,6,05/01/2012
POS,3,06/01/2012
POS,2,07/01/2012
POS,8,08/01/2012
POS,3,09/01/2012
POS,7,10/01/2012
POS,9,11/01/2012
POS,3,12/01/2012
NEG,1,10/01/2010
NEG,0,11/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,1,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,0,07/01/2011
NEG,0,08/01/2011
NEG,1,09/01/2011
NEG,2,10/01/2011
NEG,1,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,1,03/01/2012
NEG,1,04/01/2012
NEG,3,05/01/2012
NEG,1,06/01/2012
NEG,1,07/01/2012
NEG,0,08/01/2012
NEG,0,09/01/2012
NEG,0,10/01/2012
NEG,1,11/01/2012
NEG,1,12/01/2012
