key,value,date
POS,1,10/01/2006
POS,3,11/01/2006
POS,2,01/01/2007
POS,4,02/01/2007
POS,5,03/01/2007
POS,4,04/01/2007
POS,1,05/01/2007
POS,4,06/01/2007
POS,1,07/01/2007
POS,4,08/01/2007
POS,1,09/01/2007
POS,3,10/01/2007
POS,2,11/01/2007
POS,6,12/01/2007
POS,1,01/01/2008
POS,2,02/01/2008
POS,0,03/01/2008
POS,5,04/01/2008
POS,1,06/01/2008
POS,5,07/01/2008
POS,4,08/01/2008
POS,1,10/01/2008
POS,3,11/01/2008
POS,3,12/01/2008
POS,1,01/01/2009
POS,3,02/01/2009
POS,4,03/01/2009
POS,1,04/01/2009
POS,2,05/01/2009
POS,3,06/01/2009
POS,4,07/01/2009
POS,3,08/01/2009
POS,2,10/01/2009
POS,3,12/01/2009
POS,4,01/01/2010
POS,2,02/01/2010
POS,2,03/01/2010
POS,2,04/01/2010
POS,5,05/01/2010
POS,7,06/01/2010
POS,11,07/01/2010
POS,5,08/01/2010
POS,1,09/01/2010
POS,10,10/01/2010
POS,3,11/01/2010
POS,4,12/01/2010
POS,3,01/01/2011
POS,3,02/01/2011
POS,7,03/01/2011
POS,8,04/01/2011
POS,9,05/01/2011
POS,15,06/01/2011
POS,14,07/01/2011
POS,10,08/01/2011
POS,13,09/01/2011
POS,16,10/01/2011
POS,15,11/01/2011
POS,15,12/01/2011
POS,17,01/01/2012
POS,7,02/01/2012
POS,4,03/01/2012
POS,8,04/01/2012
POS,7,05/01/2012
POS,8,06/01/2012
POS,9,07/01/2012
POS,7,08/01/2012
POS,14,09/01/2012
POS,9,10/01/2012
POS,7,11/01/2012
POS,6,12/01/2012
NEG,1,10/01/2006
NEG,0,11/01/2006
NEG,0,01/01/2007
NEG,0,02/01/2007
NEG,0,03/01/2007
NEG,0,04/01/2007
NEG,2,05/01/2007
NEG,0,06/01/2007
NEG,0,07/01/2007
NEG,0,08/01/2007
NEG,0,09/01/2007
NEG,0,10/01/2007
NEG,2,11/01/2007
NEG,0,12/01/2007
NEG,0,01/01/2008
NEG,0,02/01/2008
NEG,1,03/01/2008
NEG,1,04/01/2008
NEG,0,06/01/2008
NEG,2,07/01/2008
NEG,0,08/01/2008
NEG,1,10/01/2008
NEG,0,11/01/2008
NEG,1,12/01/2008
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,0,03/01/2009
NEG,0,04/01/2009
NEG,0,05/01/2009
NEG,1,06/01/2009
NEG,2,07/01/2009
NEG,0,08/01/2009
NEG,0,10/01/2009
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,1,04/01/2010
NEG,0,05/01/2010
NEG,1,06/01/2010
NEG,0,07/01/2010
NEG,1,08/01/2010
NEG,0,09/01/2010
NEG,0,10/01/2010
NEG,1,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,1,03/01/2011
NEG,1,04/01/2011
NEG,0,05/01/2011
NEG,1,06/01/2011
NEG,0,07/01/2011
NEG,4,08/01/2011
NEG,2,09/01/2011
NEG,4,10/01/2011
NEG,1,11/01/2011
NEG,0,12/01/2011
NEG,1,01/01/2012
NEG,1,02/01/2012
NEG,1,03/01/2012
NEG,2,04/01/2012
NEG,0,05/01/2012
NEG,1,06/01/2012
NEG,1,07/01/2012
NEG,1,08/01/2012
NEG,0,09/01/2012
NEG,0,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
