key,value,date
POS,9,11/01/2011
POS,12,12/01/2011
POS,33,01/01/2012
POS,18,02/01/2012
POS,24,03/01/2012
POS,21,04/01/2012
POS,22,05/01/2012
POS,22,06/01/2012
POS,23,07/01/2012
POS,33,08/01/2012
POS,27,09/01/2012
POS,40,10/01/2012
POS,26,11/01/2012
POS,13,12/01/2012
NEG,3,11/01/2011
NEG,1,12/01/2011
NEG,4,01/01/2012
NEG,1,02/01/2012
NEG,1,03/01/2012
NEG,5,04/01/2012
NEG,1,05/01/2012
NEG,3,06/01/2012
NEG,2,07/01/2012
NEG,0,08/01/2012
NEG,1,09/01/2012
NEG,3,10/01/2012
NEG,4,11/01/2012
NEG,0,12/01/2012
