key,value,date
POS,4,04/01/2011
POS,2,05/01/2011
POS,0,06/01/2011
POS,1,07/01/2011
POS,1,08/01/2011
POS,1,10/01/2011
POS,2,11/01/2011
POS,1,12/01/2011
POS,3,03/01/2012
POS,1,04/01/2012
POS,0,05/01/2012
POS,3,06/01/2012
POS,0,07/01/2012
POS,0,08/01/2012
POS,2,09/01/2012
POS,7,10/01/2012
POS,5,11/01/2012
POS,4,12/01/2012
NEG,1,04/01/2011
NEG,0,05/01/2011
NEG,1,06/01/2011
NEG,0,07/01/2011
NEG,0,08/01/2011
NEG,2,10/01/2011
NEG,1,11/01/2011
NEG,0,12/01/2011
NEG,1,03/01/2012
NEG,4,04/01/2012
NEG,3,05/01/2012
NEG,1,06/01/2012
NEG,1,07/01/2012
NEG,1,08/01/2012
NEG,2,09/01/2012
NEG,9,10/01/2012
NEG,1,11/01/2012
NEG,1,12/01/2012
