label,count,month
POS,2,02/01/2008
POS,1,04/01/2008
POS,2,05/01/2008
POS,1,06/01/2008
POS,2,07/01/2008
POS,0,09/01/2008
POS,1,10/01/2008
POS,3,11/01/2008
POS,0,01/01/2009
POS,2,02/01/2009
POS,4,03/01/2009
POS,2,04/01/2009
POS,3,07/01/2009
POS,1,08/01/2009
POS,3,10/01/2009
POS,3,11/01/2009
POS,1,12/01/2009
POS,0,01/01/2010
POS,2,02/01/2010
POS,7,03/01/2010
POS,6,04/01/2010
POS,9,05/01/2010
POS,18,06/01/2010
POS,20,07/01/2010
POS,14,08/01/2010
POS,10,09/01/2010
POS,20,10/01/2010
POS,13,11/01/2010
POS,9,12/01/2010
POS,6,01/01/2011
POS,5,02/01/2011
POS,9,03/01/2011
POS,14,04/01/2011
POS,9,05/01/2011
POS,26,06/01/2011
POS,15,07/01/2011
POS,27,08/01/2011
POS,17,09/01/2011
POS,29,10/01/2011
POS,33,11/01/2011
POS,23,12/01/2011
POS,25,01/01/2012
POS,21,02/01/2012
POS,17,03/01/2012
POS,18,04/01/2012
POS,35,05/01/2012
POS,19,06/01/2012
POS,31,07/01/2012
POS,16,08/01/2012
POS,22,09/01/2012
POS,11,10/01/2012
POS,23,11/01/2012
POS,18,12/01/2012
NEG,1,02/01/2008
NEG,1,04/01/2008
NEG,2,05/01/2008
NEG,3,06/01/2008
NEG,2,07/01/2008
NEG,1,09/01/2008
NEG,2,10/01/2008
NEG,1,11/01/2008
NEG,2,01/01/2009
NEG,1,02/01/2009
NEG,2,03/01/2009
NEG,0,04/01/2009
NEG,0,07/01/2009
NEG,3,08/01/2009
NEG,3,10/01/2009
NEG,0,11/01/2009
NEG,2,12/01/2009
NEG,1,01/01/2010
NEG,0,02/01/2010
NEG,5,03/01/2010
NEG,0,04/01/2010
NEG,2,05/01/2010
NEG,4,06/01/2010
NEG,5,07/01/2010
NEG,2,08/01/2010
NEG,4,09/01/2010
NEG,4,10/01/2010
NEG,3,11/01/2010
NEG,1,12/01/2010
NEG,1,01/01/2011
NEG,0,02/01/2011
NEG,3,03/01/2011
NEG,1,04/01/2011
NEG,1,05/01/2011
NEG,5,06/01/2011
NEG,3,07/01/2011
NEG,3,08/01/2011
NEG,3,09/01/2011
NEG,6,10/01/2011
NEG,5,11/01/2011
NEG,2,12/01/2011
NEG,13,01/01/2012
NEG,3,02/01/2012
NEG,8,03/01/2012
NEG,6,04/01/2012
NEG,5,05/01/2012
NEG,10,06/01/2012
NEG,7,07/01/2012
NEG,9,08/01/2012
NEG,5,09/01/2012
NEG,8,10/01/2012
NEG,5,11/01/2012
NEG,1,12/01/2012
