key,value,date
POS,1,07/01/2008
POS,1,09/01/2008
POS,4,10/01/2008
POS,5,12/01/2008
POS,1,01/01/2009
POS,6,03/01/2009
POS,2,04/01/2009
POS,0,05/01/2009
POS,3,06/01/2009
POS,6,07/01/2009
POS,3,08/01/2009
POS,3,09/01/2009
POS,1,10/01/2009
POS,0,11/01/2009
POS,1,12/01/2009
POS,4,01/01/2010
POS,1,02/01/2010
POS,3,03/01/2010
POS,2,04/01/2010
POS,1,05/01/2010
POS,5,06/01/2010
POS,6,07/01/2010
POS,3,08/01/2010
POS,7,09/01/2010
POS,7,10/01/2010
POS,5,11/01/2010
POS,6,12/01/2010
POS,1,01/01/2011
POS,14,02/01/2011
POS,11,03/01/2011
POS,5,04/01/2011
POS,8,05/01/2011
POS,16,06/01/2011
POS,12,07/01/2011
POS,14,08/01/2011
POS,17,09/01/2011
POS,8,10/01/2011
POS,6,11/01/2011
POS,11,12/01/2011
POS,13,01/01/2012
POS,9,02/01/2012
POS,6,03/01/2012
POS,10,04/01/2012
POS,15,05/01/2012
POS,25,06/01/2012
POS,17,07/01/2012
POS,14,08/01/2012
POS,11,09/01/2012
POS,8,10/01/2012
POS,19,11/01/2012
POS,12,12/01/2012
NEG,0,07/01/2008
NEG,0,09/01/2008
NEG,0,10/01/2008
NEG,0,12/01/2008
NEG,1,01/01/2009
NEG,1,03/01/2009
NEG,0,04/01/2009
NEG,1,05/01/2009
NEG,2,06/01/2009
NEG,2,07/01/2009
NEG,1,08/01/2009
NEG,0,09/01/2009
NEG,0,10/01/2009
NEG,2,11/01/2009
NEG,0,12/01/2009
NEG,1,01/01/2010
NEG,1,02/01/2010
NEG,0,03/01/2010
NEG,1,04/01/2010
NEG,0,05/01/2010
NEG,2,06/01/2010
NEG,0,07/01/2010
NEG,0,08/01/2010
NEG,1,09/01/2010
NEG,0,10/01/2010
NEG,0,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,1,03/01/2011
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,1,06/01/2011
NEG,1,07/01/2011
NEG,0,08/01/2011
NEG,1,09/01/2011
NEG,1,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,2,01/01/2012
NEG,1,02/01/2012
NEG,0,03/01/2012
NEG,1,04/01/2012
NEG,0,05/01/2012
NEG,0,06/01/2012
NEG,0,07/01/2012
NEG,2,08/01/2012
NEG,0,09/01/2012
NEG,1,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
